,MAO,ITA,BOR,MNC
2016-01-01,17.54,4.52,11.63,9.17
2016-01-02,17.62,4.56,11.81,9.25
2016-01-03,17.72,4.61,11.95,9.35
2016-01-04,17.80,4.67,12.05,9.46
2016-01-05,17.91,4.76,12.17,9.57
2016-01-06,18.00,4.85,12.30,9.70
2016-01-07,18.12,4.95,12.42,9.81
2016-01-08,18.24,5.04,12.52,9.91
2016-01-09,18.35,5.13,12.65,9.99
2016-01-10,18.46,5.24,12.82,10.09
2016-01-11,18.58,5.35,12.97,10.26
2016-01-12,18.71,5.46,13.13,10.40
2016-01-13,18.82,5.56,13.21,10.51
2016-01-14,18.92,5.66,13.33,10.61
2016-01-15,19.04,5.77,13.38,10.72
2016-01-16,19.14,5.87,13.42,10.81
2016-01-17,19.24,5.96,13.46,10.90
2016-01-18,19.35,6.05,13.53,10.98
2016-01-19,19.45,6.14,13.60,11.07
2016-01-20,19.52,6.21,13.72,11.16
2016-01-21,19.61,6.28,13.84,11.24
2016-01-22,19.73,6.36,14.00,11.29
2016-01-23,19.81,6.44,14.17,11.36
2016-01-24,19.89,6.52,14.33,11.42
2016-01-25,19.98,6.58,14.44,11.45
2016-01-26,20.04,6.65,14.58,11.49
2016-01-27,20.08,6.68,14.63,11.51
2016-01-28,20.11,6.73,14.71,11.52
2016-01-29,20.12,6.78,14.72,11.52
2016-01-30,20.13,6.80,14.72,11.53
2016-01-31,20.13,6.81,14.72,11.52
2016-02-01,20.13,6.81,14.66,11.50
2016-02-02,20.14,6.81,14.51,11.48
2016-02-03,20.14,6.81,14.50,11.46
2016-02-04,20.13,6.81,14.50,11.41
2016-02-05,20.10,6.78,14.54,11.36
2016-02-06,20.07,6.79,14.60,11.31
2016-02-07,20.05,6.77,14.67,11.27
2016-02-08,20.03,6.79,14.76,11.22
2016-02-09,20.00,6.75,14.87,11.15
2016-02-10,19.97,6.75,15.04,11.09
2016-02-11,19.95,6.79,15.14,11.03
2016-02-12,19.91,6.80,15.29,10.98
2016-02-13,19.87,6.80,15.38,10.92
2016-02-14,19.83,6.80,15.46,10.88
2016-02-15,19.78,6.80,15.53,10.82
2016-02-16,19.74,6.80,15.54,10.75
2016-02-17,19.70,6.80,15.54,10.73
2016-02-18,19.68,6.80,15.52,10.70
2016-02-19,19.68,6.80,15.52,10.69
2016-02-20,19.68,6.79,15.52,10.70
2016-02-21,19.67,6.75,15.50,10.71
2016-02-22,19.66,6.75,15.48,10.74
2016-02-23,19.63,6.72,15.45,10.77
2016-02-24,19.61,6.70,15.42,10.84
2016-02-25,19.63,6.73,15.40,10.92
2016-02-26,19.65,6.80,15.45,11.01
2016-02-27,19.71,6.84,15.48,11.10
2016-02-28,19.77,6.97,15.51,11.21
2016-02-29,19.84,6.98,15.56,11.31
2016-03-01,19.94,7.03,15.60,11.44
2016-03-02,20.03,7.12,15.66,11.56
2016-03-03,20.16,7.20,15.74,11.69
2016-03-04,20.24,7.28,15.80,11.81
2016-03-05,20.32,7.34,15.95,11.91
2016-03-06,20.40,7.40,16.07,12.07
2016-03-07,20.49,7.49,16.17,12.21
2016-03-08,20.65,7.57,16.27,12.36
2016-03-09,20.85,7.77,16.42,12.49
2016-03-10,21.04,7.93,16.54,12.63
2016-03-11,21.19,8.06,16.63,12.75
2016-03-12,21.34,8.17,16.74,12.87
2016-03-13,21.47,8.30,16.84,12.99
2016-03-14,21.59,8.44,16.93,13.11
2016-03-15,21.73,8.60,17.09,13.23
2016-03-16,21.84,8.75,17.18,13.32
2016-03-17,21.95,8.84,17.27,13.40
2016-03-18,22.06,8.93,17.36,13.51
2016-03-19,22.16,9.02,17.43,13.62
2016-03-20,22.26,9.07,17.53,13.70
2016-03-21,22.35,9.13,17.57,13.82
2016-03-22,22.43,9.25,17.65,13.89
2016-03-23,22.55,9.33,17.69,14.00
2016-03-24,22.64,9.46,17.74,14.08
2016-03-25,22.74,9.52,17.76,14.16
2016-03-26,22.83,9.56,17.85,14.24
2016-03-27,22.91,9.62,17.89,14.32
2016-03-28,22.99,9.67,17.94,14.39
2016-03-29,23.10,9.73,17.96,14.49
2016-03-30,23.22,9.85,18.03,14.58
2016-03-31,23.30,10.03,18.05,14.67
2016-04-01,23.38,10.13,18.11,14.76
2016-04-02,23.40,10.18,18.15,14.85
2016-04-03,23.42,10.28,18.20,14.90
2016-04-04,23.45,10.36,18.25,14.98
2016-04-05,23.51,10.41,18.29,15.05
2016-04-06,23.60,10.46,18.34,15.11
2016-04-07,23.68,10.54,18.38,15.17
2016-04-08,23.73,10.59,18.43,15.21
2016-04-09,23.78,10.63,18.47,15.28
2016-04-10,23.84,10.68,18.48,15.34
2016-04-11,23.90,10.74,18.49,15.41
2016-04-12,23.99,10.84,18.50,15.51
2016-04-13,24.29,10.90,18.50,15.60
2016-04-14,24.41,10.96,18.50,15.68
2016-04-15,24.48,10.98,18.50,15.74
2016-04-16,24.54,11.01,18.52,15.80
2016-04-17,24.59,11.05,18.52,15.84
2016-04-18,24.64,11.09,18.52,15.89
2016-04-19,24.71,11.15,18.52,15.97
2016-04-20,24.79,11.19,18.50,16.06
2016-04-21,24.86,11.23,18.50,16.13
2016-04-22,24.93,11.27,18.50,16.21
2016-04-23,25.00,11.31,18.50,16.27
2016-04-24,25.06,11.35,18.50,16.33
2016-04-25,25.12,11.40,18.50,16.41
2016-04-26,25.21,11.43,18.54,16.47
2016-04-27,25.26,11.47,18.54,16.51
2016-04-28,25.30,11.50,18.54,16.57
2016-04-29,25.37,11.56,18.54,16.62
2016-04-30,25.44,11.61,18.55,16.69
2016-05-01,25.51,11.65,18.56,16.75
2016-05-02,25.57,11.69,18.56,16.81
2016-05-03,25.66,11.74,18.56,16.88
2016-05-04,25.72,11.77,18.57,16.94
2016-05-05,25.80,11.83,18.57,17.00
2016-05-06,25.87,11.89,18.55,17.06
2016-05-07,25.94,11.93,18.52,17.12
2016-05-08,26.01,11.98,18.52,17.19
2016-05-09,26.07,12.03,18.50,17.25
2016-05-10,26.13,12.00,18.50,17.31
2016-05-11,26.20,12.05,18.45,17.37
2016-05-12,26.29,12.11,18.43,17.45
2016-05-13,26.34,12.15,18.41,17.51
2016-05-14,26.40,12.18,18.38,17.54
2016-05-15,26.45,12.20,18.34,17.59
2016-05-16,26.50,12.21,18.28,17.63
2016-05-17,26.54,12.25,18.21,17.66
2016-05-18,26.58,12.27,18.16,17.69
2016-05-19,26.61,12.30,18.14,17.73
2016-05-20,26.66,12.31,18.10,17.78
2016-05-21,26.69,12.34,18.08,17.80
2016-05-22,26.72,12.35,18.06,17.82
2016-05-23,26.74,12.37,18.04,17.85
2016-05-24,26.79,12.38,18.05,17.89
2016-05-25,26.82,12.40,18.05,17.93
2016-05-26,26.85,12.43,18.03,17.96
2016-05-27,26.87,12.44,18.01,17.98
2016-05-28,26.90,12.44,17.99,17.99
2016-05-29,26.92,12.46,17.96,18.01
2016-05-30,26.94,12.47,17.92,18.03
2016-05-31,26.97,12.48,17.86,18.08
2016-06-01,26.99,12.48,17.77,18.10
2016-06-02,27.01,12.49,17.71,18.11
2016-06-03,27.04,12.50,17.58,18.14
2016-06-04,27.06,12.51,17.52,18.15
2016-06-05,27.08,12.51,17.47,18.16
2016-06-06,27.09,12.51,17.46,18.18
2016-06-07,27.10,12.50,17.43,18.18
2016-06-08,27.10,12.50,17.39,18.19
2016-06-09,27.11,12.50,17.35,18.21
2016-06-10,27.12,12.50,17.31,18.22
2016-06-11,27.13,12.50,17.19,18.23
2016-06-12,27.15,12.51,17.19,18.24
2016-06-13,27.17,12.52,17.16,18.25
2016-06-14,27.18,12.52,17.17,18.25
