data,cota_m
2016-01-01,16.82
2016-01-02,16.96
2016-01-03,17.08
2016-01-04,17.12
2016-01-05,17.28
2016-01-06,17.35
2016-01-07,17.28
2016-01-08,17.26
2016-01-09,17.19
2016-01-10,17.1
2016-01-11,17.1
2016-01-12,17.17
2016-01-13,17.22
2016-01-14,17.24
2016-01-15,17.29
2016-01-16,17.46
2016-01-17,17.6
2016-01-18,17.6
2016-01-19,17.58
2016-01-20,17.49
2016-01-21,17.39
2016-01-22,17.42
2016-01-23,17.48
2016-01-24,17.6
2016-01-25,17.38
2016-01-26,16.99
2016-01-27,16.64
2016-01-28,16.4
2016-01-29,16.2
2016-01-30,16.18
2016-01-31,16.2
2016-02-01,16.22
2016-02-02,16.15
2016-02-03,16.42
2016-02-04,16.72
2016-02-05,17.14
2016-02-06,17.54
2016-02-07,17.79
2016-02-08,17.93
2016-02-09,18.06
2016-02-10,18.32
2016-02-11,18.54
2016-02-12,18.62
2016-02-13,18.48
2016-02-14,18.35
2016-02-15,18.32
2016-02-16,18.3
2016-02-17,18.17
2016-02-18,17.96
2016-02-19,17.72
2016-02-20,17.58
2016-02-21,17.8
2016-02-22,18.06
2016-02-23,17.94
2016-02-24,17.94
2016-02-25,18.08
2016-02-26,18.43
2016-02-27,18.68
2016-02-28,18.76
2016-02-29,18.82
2016-03-01,19.12
2016-03-02,19.32
2016-03-03,19.49
2016-03-04,19.58
2016-03-05,19.66
2016-03-06,19.71
2016-03-07,19.76
2016-03-08,19.93
2016-03-09,19.99
2016-03-10,19.93
2016-03-11,19.94
2016-03-12,19.92
2016-03-13,19.96
2016-03-14,20.07
2016-03-15,20.14
2016-03-16,20.2
2016-03-17,19.97
2016-03-18,19.68
2016-03-19,19.37
2016-03-20,19.06
2016-03-21,18.74
2016-03-22,18.52
2016-03-23,18.65
2016-03-24,18.72
2016-03-25,18.62
2016-03-26,18.51
2016-03-27,18.52
2016-03-28,18.69
2016-03-29,18.98
2016-03-30,19.28
2016-03-31,19.32
2016-04-01,19.14
2016-04-02,18.94
2016-04-03,18.72
2016-04-04,18.68
2016-04-05,18.68
2016-04-06,18.5
2016-04-07,18.3
2016-04-08,18.16
2016-04-09,18.11
2016-04-10,18.07
2016-04-11,18.04
2016-04-12,18.02
2016-04-13,17.87
2016-04-14,17.8
2016-04-15,17.77
2016-04-16,17.91
2016-04-17,17.98
2016-04-18,18.01
2016-04-19,18.18
2016-04-20,18.16
2016-04-21,18.12
2016-04-22,18.01
2016-04-23,17.99
2016-04-24,18.24
2016-04-25,18.39
2016-04-26,18.29
2016-04-27,18.21
2016-04-28,18.12
2016-04-29,18.56
2016-04-30,18.83
2016-05-01,18.71
2016-05-02,18.44
2016-05-03,18.08
2016-05-04,17.77
2016-05-05,17.48
2016-05-06,17.28
2016-05-07,17.02
2016-05-08,16.82
2016-05-09,16.6
2016-05-10,16.42
2016-05-11,16.46
2016-05-12,16.45
2016-05-13,16.46
2016-05-14,16.65
2016-05-15,16.82
2016-05-16,17.02
2016-05-17,17.16
2016-05-18,17.23
2016-05-19,17.16
2016-05-20,16.94
2016-05-21,16.72
2016-05-22,16.6
2016-05-23,16.52
2016-05-24,16.33
2016-05-25,16.08
2016-05-26,15.88
2016-05-27,15.7
2016-05-28,15.58
2016-05-29,15.5
2016-05-30,15.53
2016-05-31,15.43
2016-06-01,15.2
2016-06-02,15.13
2016-06-03,15.07
2016-06-04,14.98
2016-06-05,14.9
2016-06-06,14.42
2016-06-07,14.24
2016-06-08,14.2
2016-06-09,14.29
2016-06-10,14.93
2016-06-11,15.21
2016-06-12,15.04
2016-06-13,14.76
2016-06-14,14.44
2016-06-15,14.15
2016-06-16,13.87
2016-06-17,13.63
2016-06-18,13.38
2016-06-22,12.62
2016-06-23,12.45
2016-06-24,12.19
2016-06-25,12.14
2016-06-26,11.98
2016-06-27,11.83
2016-06-28,11.78
2016-06-29,11.51
2016-06-30,11.32
2016-07-07,10.98
2016-07-08,10.65
2016-07-09,10.44
2016-07-10,10.28
2016-07-11,10.16
2016-07-12,10.1
2016-07-13,10.32
2016-07-14,10.58
2016-07-15,10.6
2016-07-16,10.47
2016-07-17,10.28
2016-07-18,10.1
2016-07-19,9.98
2016-07-20,9.88
2016-07-21,9.82
2016-07-22,9.82
2016-07-23,9.86
2016-07-24,9.88
2016-07-25,9.76
2016-07-26,9.67
2016-07-27,9.52
2016-07-28,9.4
2016-07-29,9.3
2016-07-30,9.18
2016-07-31,9.12
2016-08-01,9.05
2016-08-02,8.96
2016-08-03,8.92
2016-08-04,8.86
2016-08-05,8.85
2016-08-06,8.82
2016-08-07,8.78
2016-08-08,8.76
2016-08-09,8.68
2016-08-10,8.68
2016-08-11,8.62
2016-08-12,8.58
2016-08-13,8.53
2016-08-14,8.48
2016-08-15,8.53
2016-08-16,8.75
2016-08-17,9.03
2016-08-18,9.26
2016-08-19,9.3
2016-08-20,9.22
2016-08-21,9.13
2016-08-22,9.04
2016-08-23,8.94
2016-08-24,8.86
2016-08-25,8.8
2016-08-26,8.77
2016-08-27,8.79
2016-08-28,8.8
2016-08-29,8.81
2016-08-30,8.79
2016-08-31,8.8
2016-12-01,10.98
2016-12-02,10.9
2016-12-03,10.82
2016-12-04,10.78
2016-12-05,10.7
2016-12-06,10.74
2016-12-07,10.85
2016-12-08,11
2016-12-09,11.06
2016-12-10,11.06
2016-12-11,11.3
2016-12-12,11.66
2016-12-13,11.68
2016-12-14,11.58
2016-12-15,11.52
2016-12-16,11.69
2016-12-17,11.78
2016-12-18,11.9
2016-12-19,12.04
2016-12-20,12.36
2016-12-21,12.65
2016-12-22,12.67
2016-12-23,12.67
2016-12-24,12.63
2016-12-25,12.75
2016-12-26,12.99
2016-12-27,13.12
2016-12-28,13.2
2016-12-29,13.44
2016-12-30,13.5
2016-12-31,13.48
2017-01-01,14.28
2017-01-02,15.03
2017-01-03,15.52
2017-01-04,15.8
2017-01-05,15.84
2017-01-06,15.98
2017-01-07,15.88
2017-01-08,15.78
2017-01-09,15.74
2017-01-10,15.97
2017-01-11,16.73
2017-01-12,17.36
2017-01-13,17.54
2017-01-14,17.6
2017-01-15,17.61
2017-01-16,17.59
2017-01-17,17.56
2017-01-18,17.53
2017-01-19,17.53
2017-01-20,17.49
2017-01-21,17.3
2017-01-22,17.16
2017-01-23,16.97
2017-01-24,16.74
2017-01-25,16.5
2017-01-26,16.42
2017-01-27,16.47
2017-01-28,16.56
2017-01-29,16.95
2017-01-30,17.37
2017-01-31,17.46
2017-02-01,17.5
2017-02-02,17.46
2017-02-03,17.24
2017-02-04,16.86
2017-02-05,16.58
2017-02-06,16.44
2017-02-07,16.72
2017-02-08,16.94
2017-02-09,17.02
2017-02-10,17.12
2017-02-11,17.4
2017-02-12,17.46
2017-02-13,17.54
2017-02-14,17.48
2017-02-15,17.43
2017-02-16,17.66
2017-02-17,18.26
2017-02-18,18.43
2017-02-19,18.57
2017-02-20,18.62
2017-02-21,18.54
2017-02-22,18.46
2017-02-23,18.46
2017-02-24,18.68
2017-02-25,18.94
2017-02-26,19.24
2017-02-27,19.4
2017-02-28,19.58
2017-03-01,19.71
2017-03-02,19.86
2017-03-03,19.94
2017-03-04,20.08
2017-03-05,20.35
2017-03-06,20.44
2017-03-07,20.54
2017-03-08,20.54
2017-03-09,20.44
2017-03-10,20.29
2017-03-11,20.16
2017-03-12,20.14
2017-03-13,20.16
2017-03-14,20.2
2017-03-15,20.16
2017-03-16,20.09
2017-03-17,20.08
2017-03-18,20.02
2017-03-19,20.04
2017-03-20,20.31
2017-03-21,20.58
2017-03-22,20.7
2017-03-23,20.65
2017-03-24,20.5
2017-03-25,20.3
2017-03-26,20.12
2017-03-27,20.05
2017-03-28,19.96
2017-03-29,19.94
2017-03-30,19.92
2017-03-31,19.94
2017-04-01,20.02
2017-04-02,20.07
2017-04-03,20.2
2017-04-04,20.22
2017-04-05,20.19
2017-04-06,20.22
2017-04-07,20.19
2017-04-08,20.16
2017-04-09,20.2
2017-04-10,20.28
2017-04-11,20.34
2017-04-12,20.33
2017-04-13,20.32
2017-04-14,20.4
2017-04-15,20.56
2017-04-16,20.7
2017-04-17,20.75
2017-04-18,20.64
2017-04-19,20.47
2017-04-20,20.2
2017-04-21,20.1
2017-04-22,19.98
2017-04-23,19.88
2017-04-24,19.88
2017-04-25,19.92
2017-04-26,20.06
2017-04-27,20.18
2017-04-28,20.22
2017-04-29,20.16
2017-04-30,20.1
2017-05-01,20.02
2017-05-02,19.96
2017-05-03,19.9
2017-05-04,19.72
2017-05-05,19.53
2017-05-06,19.48
2017-05-07,19.22
2017-05-08,19.1
2017-05-09,18.98
2017-05-10,18.93
2017-05-11,18.84
2017-05-12,18.75
2017-05-13,18.69
2017-05-14,18.78
2017-05-15,18.86
2017-05-16,18.9
2017-05-17,19.05
2017-05-18,19.28
2017-05-19,19.34
2017-05-20,19.26
2017-05-21,19.16
2017-05-22,19.08
2017-05-23,19.06
2017-05-24,19.2
2017-05-25,19.38
2017-05-26,19.2
2017-05-27,19.02
2017-05-28,18.82
2017-05-29,18.69
2017-05-30,18.61
2017-05-31,18.52
2017-06-01,18.48
2017-06-02,18.52
2017-06-03,18.49
2017-06-04,18.38
2017-06-05,18.24
2017-06-06,18.07
2017-06-07,17.9
2017-06-08,17.74
2017-06-09,17.61
2017-06-10,17.4
2017-06-11,17.74
2017-06-12,17.04
2017-06-13,17.36
2017-06-14,17.69
2017-06-15,17.78
2017-06-16,17.53
2017-06-17,17.36
2017-06-18,17.24
2017-06-19,17.14
2017-06-20,17.02
2017-06-21,16.86
2017-06-22,16.54
2017-06-23,16.4
2017-06-24,16.34
2017-06-25,16.3
2017-06-26,16.1
2017-06-27,15.8
2017-06-28,15.53
2017-06-29,15.3
2017-06-30,15.06
2017-07-01,14.85
2017-07-02,14.75
2017-07-03,14.7
2017-07-04,14.74
2017-07-05,14.8
2017-07-06,14.83
2017-07-07,14.68
2017-07-08,14.42
2017-07-09,14.15
2017-07-10,13.9
2017-07-11,13.69
2017-07-12,13.52
2017-07-13,13.3
2017-07-14,13.19
2017-07-15,13.02
2017-07-16,12.9
2017-07-17,12.8
2017-07-18,12.6
2017-07-19,12.42
2017-07-20,12.2
2017-07-21,12.03
2017-07-22,11.93
2017-07-23,12.05
2017-07-24,12.1
2017-07-25,11.93
2017-07-26,11.78
2017-07-27,11.62
2017-07-28,11.46
2017-07-29,11.28
2017-07-30,11.1
2017-07-31,10.96
2017-08-01,10.77
2017-08-02,10.57
2017-08-03,10.44
2017-08-04,10.28
2017-08-05,10.16
2017-08-06,10.09
2017-08-07,10.01
2017-08-08,9.94
2017-08-09,9.85
2017-08-10,9.8
2017-08-11,9.84
2017-08-12,9.86
2017-08-13,9.84
2017-08-14,9.74
2017-08-15,9.62
2017-08-16,9.54
2017-08-17,9.52
2017-08-18,9.54
2017-08-19,9.7
2017-08-20,9.8
2017-08-21,9.78
2017-08-22,9.9
2017-08-23,10.39
2017-08-24,10.69
2017-08-25,10.72
2017-08-26,10.56
2017-08-27,10.44
2017-08-28,10.3
2017-08-29,10.18
2017-08-30,10.12
2017-08-31,10.01
2017-09-01,9.93
2017-09-02,9.82
2017-09-03,9.77
2017-09-04,9.76
2017-09-05,9.7
2017-09-06,9.62
2017-09-07,9.52
2017-09-08,9.42
2017-09-09,9.34
2017-09-10,9.28
2017-09-11,9.24
2017-09-12,9.16
2017-09-13,9.14
2017-09-14,9.13
2017-09-15,9.1
2017-09-16,9.15
2017-09-17,9.66
2017-09-18,10.19
2017-09-19,10.28
2017-09-20,10.19
2017-09-21,10.05
2017-09-22,9.96
2017-09-23,9.88
2017-09-24,9.83
2017-09-25,9.74
2017-09-26,9.66
2017-09-27,9.4
2017-09-28,9.3
2017-09-29,9.2
2017-09-30,9.18
2017-10-01,9.2
2017-10-02,9.17
2017-10-03,9.25
2017-10-04,9.28
2017-10-05,9.37
2017-10-06,9.45
2017-10-07,9.4
2017-10-08,9.34
2017-10-09,9.3
2017-10-10,9.2
2017-10-11,9.1
2017-10-12,9.01
2017-10-13,8.83
2017-10-14,8.9
2017-10-15,8.9
2017-10-16,8.83
2017-10-17,8.8
2017-10-18,8.79
2017-10-19,8.89
2017-10-20,8.9
2017-10-21,9
2017-10-22,9.24
2017-10-23,9.43
2017-10-24,9.46
2017-10-25,9.42
2017-10-26,9.38
2017-10-27,9.4
2017-10-28,9.46
2017-10-29,9.58
2017-10-30,9.69
2017-10-31,9.77
2017-11-01,9.74
2017-11-02,9.75
2017-11-03,10.35
2017-11-04,10.7
2017-11-05,10.69
2017-11-06,10.89
2017-11-07,11.17
2017-11-08,11.39
2017-11-09,11.38
2017-11-10,11.37
2017-11-11,11.44
2017-11-12,11.62
2017-11-13,11.91
2017-11-14,12.35
2017-11-15,12.59
2017-11-16,12.65
2017-11-17,12.8
2017-11-18,12.98
2017-11-19,13.03
2017-11-20,13.02
2017-11-21,12.8
2017-11-22,12.68
2017-11-23,12.6
2017-11-24,12.72
2017-11-25,13.05
2017-11-26,13.28
2017-11-27,13.55
2017-11-28,13.76
2017-11-29,13.85
2017-11-30,13.79
2017-12-01,13.68
2017-12-02,13.68
2017-12-03,13.7
2017-12-04,13.98
2017-12-05,14.44
2017-12-06,15.02
2017-12-07,15.26
2017-12-08,15.32
2017-12-09,15.52
2017-12-10,16.01
2017-12-11,16.12
2017-12-12,16.05
2017-12-13,16.13
2017-12-14,16.18
2017-12-15,16.23
2017-12-16,16.28
2017-12-17,16.26
2017-12-18,16.24
2017-12-19,16.19
2017-12-20,16.08
2017-12-21,16.02
2017-12-22,15.98
2017-12-23,16.04
2017-12-24,16.24
2017-12-25,16.37
2017-12-26,16.48
2017-12-27,16.92
2017-12-28,17.95
2017-12-29,18.48
2017-12-30,18.74
2017-12-31,18.84
2018-01-01,18.84
2018-01-02,18.82
2018-01-03,18.72
2018-01-04,18.68
2018-01-05,18.64
2018-01-06,18.63
2018-01-07,19.02
2018-01-08,19.53
2018-01-09,19.79
2018-01-10,19.9
2018-01-11,19.95
2018-01-12,19.93
2018-01-13,19.86
2018-01-14,19.84
2018-01-15,19.88
2018-01-16,20.11
2018-01-17,20.3
2018-01-18,20.52
2018-01-19,20.67
2018-01-20,20.72
2018-01-21,20.8
2018-01-22,20.84
2018-01-23,20.85
2018-01-24,20.88
2018-01-25,20.87
2018-01-26,20.72
2018-01-27,20.52
2018-01-28,20.24
2018-01-29,20.08
2018-01-30,19.88
2018-01-31,19.75
2018-02-01,19.96
2018-02-02,20.3
2018-02-03,20.48
2018-02-04,20.58
2018-02-05,20.6
2018-02-06,20.79
2018-02-07,20.88
2018-02-08,20.94
2018-02-09,20.94
2018-02-10,20.86
2018-02-11,20.8
2018-02-12,20.8
2018-02-13,20.8
2018-02-14,21.04
2018-02-15,21.1
2018-02-16,21.1
2018-02-17,21.21
2018-02-18,21.26
2018-02-19,21.35
2018-02-20,21.37
2018-02-21,21.38
2018-02-22,21.44
2018-02-23,21.46
2018-02-24,21.47
2018-02-25,21.5
2018-02-26,21.5
2018-02-27,21.46
2018-02-28,21.4
2018-03-01,21.36
2018-03-02,21.3
2018-03-03,21.28
2018-03-04,21.26
2018-03-05,21.26
2018-03-06,21.2
2018-03-07,21.1
2018-03-08,21.04
2018-03-09,21.01
2018-03-10,21.08
2018-03-11,21.26
2018-03-12,21.38
2018-03-13,21.47
