ano,mes,porto,tonelagem_t,n_atracacoes
2010,1,Itacoatiara,161124,83
2010,1,Manaus,375841,3662
2010,1,Santarém,29128,288
2010,2,Itacoatiara,231453,121
2010,2,Manaus,564748,3670
2010,2,Santarém,26730,237
2010,3,Itacoatiara,228098,118
2010,3,Manaus,444148,3855
2010,3,Santarém,26089,255
2010,4,Itacoatiara,252594,130
2010,4,Manaus,414638,4093
2010,4,Santarém,56155,227
2010,5,Itacoatiara,324945,167
2010,5,Manaus,489165,4390
2010,5,Santarém,25469,176
2010,6,Itacoatiara,277033,151
2010,6,Manaus,442715,4309
2010,6,Santarém,25729,167
2010,7,Itacoatiara,209318,166
2010,7,Manaus,474333,3908
2010,7,Santarém,38357,212
2010,8,Itacoatiara,116466,94
2010,8,Manaus,435910,6710
2010,8,Santarém,31954,272
2010,9,Itacoatiara,31129,33
2010,9,Manaus,421939,6430
2010,9,Santarém,25892,215
2010,10,Itacoatiara,30153,34
2010,10,Manaus,457611,6439
2010,10,Santarém,28768,215
2010,11,Itacoatiara,114851,81
2010,11,Manaus,539434,6568
2010,11,Santarém,62221,210
2010,12,Itacoatiara,129997,64
2010,12,Manaus,445182,7009
2010,12,Santarém,28812,245
2011,1,Itacoatiara,276886,141
2011,1,Manaus,364826,4312
2011,1,Santarém,84530,259
2011,2,Itacoatiara,254148,110
2011,2,Manaus,354553,4676
2011,2,Santarém,85167,257
2011,3,Itacoatiara,296720,149
2011,3,Manaus,380198,5360
2011,3,Santarém,141249,293
2011,4,Itacoatiara,271365,140
2011,4,Manaus,393050,5559
2011,4,Santarém,130442,262
2011,5,Itacoatiara,308321,159
2011,5,Manaus,406656,6037
2011,5,Santarém,129737,270
2011,6,Itacoatiara,239803,124
2011,6,Manaus,393606,5808
2011,6,Santarém,151554,246
2011,7,Itacoatiara,165211,107
2011,7,Manaus,400840,5751
2011,7,Santarém,124319,302
2011,8,Itacoatiara,136567,113
2011,8,Manaus,441947,5858
