data,vazao_m3s
2016-01-01,285.14
2016-01-02,304.96
2016-01-03,309.98
2016-01-04,320.11
2016-01-05,351.13
2016-01-06,404.9
2016-01-07,393.95
2016-01-08,377.7
2016-01-09,356.39
2016-01-10,340.69
2016-01-11,330.34
2016-01-12,315.03
2016-01-13,309.98
2016-01-14,294.99
2016-01-15,280.25
2016-01-16,270.56
2016-01-17,260.99
2016-01-18,251.53
2016-01-19,237.56
2016-01-20,228.4
2016-01-21,219.35
2016-01-22,214.87
2016-01-23,210.43
2016-01-24,206.01
2016-01-25,201.63
2016-01-26,192.95
2016-01-27,188.66
2016-01-28,184.41
2016-01-29,180.18
2016-01-30,175.99
2016-01-31,171.83
2016-02-01,167.7
2016-02-02,163.61
2016-02-03,159.55
2016-02-04,159.55
2016-02-05,151.53
2016-02-06,143.65
2016-02-07,143.65
2016-02-08,143.65
2016-02-09,143.65
2016-02-10,143.65
2016-02-11,143.65
2016-02-12,143.65
2016-02-13,143.65
2016-02-14,143.65
2016-02-15,135.91
2016-02-16,132.1
2016-02-17,143.65
2016-02-18,188.66
2016-02-19,223.86
2016-02-20,228.4
2016-02-21,228.4
2016-02-22,219.35
2016-02-23,219.35
2016-02-24,210.43
2016-02-25,201.63
2016-02-26,197.28
2016-02-27,197.28
2016-02-28,184.41
2016-02-29,175.99
2016-03-01,171.83
2016-03-02,201.63
2016-03-03,232.96
2016-03-04,251.53
2016-03-05,285.14
2016-03-06,294.99
2016-03-07,290.05
2016-03-08,270.56
2016-03-09,251.53
2016-03-10,232.96
2016-03-11,214.87
2016-03-12,206.01
2016-03-13,201.63
2016-03-14,192.95
2016-03-15,188.66
2016-03-16,180.18
2016-03-17,167.7
2016-03-18,159.55
2016-03-19,155.52
2016-03-20,151.53
2016-03-21,143.65
2016-03-22,143.65
2016-03-23,143.65
2016-03-24,155.52
2016-03-25,171.83
2016-03-26,188.66
2016-03-27,188.66
2016-03-28,175.99
2016-03-29,167.7
2016-03-30,155.52
2016-03-31,147.57
2016-04-01,151.53
2016-04-02,151.53
2016-04-03,147.57
2016-04-04,151.53
2016-04-05,143.65
2016-04-06,147.57
2016-04-07,175.99
2016-04-08,197.28
2016-04-09,219.35
2016-04-10,251.53
2016-04-11,299.96
2016-04-12,399.41
2016-04-13,484.32
2016-04-14,507.87
2016-04-15,472.69
2016-04-16,421.52
2016-04-17,388.51
2016-04-18,367
2016-04-19,399.41
2016-04-20,415.96
2016-04-21,438.36
2016-04-22,449.71
2016-04-23,461.15
2016-04-24,484.32
2016-04-25,531.78
2016-04-26,650.19
2016-04-27,742.35
2016-04-28,783.07
2016-04-29,796.8
2016-04-30,859.56
2016-05-01,938.38
2016-05-02,1102.72
2016-05-03,1601.88
2016-05-04,2139.99
2016-05-05,2373.21
2016-05-06,2333.79
2016-05-07,2149.55
2016-05-08,2064.05
2016-05-09,2073.49
2016-05-10,2139.99
2016-05-11,2412.85
2016-05-12,2748.05
2016-05-13,2968.75
2016-05-14,3326.77
2016-05-15,3732.43
2016-05-16,3917.62
2016-05-17,3801.53
2016-05-18,3415.58
2016-05-19,3022.13
2016-05-20,2779.23
2016-05-21,2543.17
2016-05-22,2492.78
2016-05-23,2363.34
2016-05-24,2255.6
2016-05-25,2111.41
2016-05-26,1878.2
2016-05-27,1733.77
2016-05-28,1645.46
2016-05-29,1689.42
2016-05-30,1850.83
2016-05-31,2073.49
2016-06-01,2275.07
2016-06-02,2422.8
2016-06-03,2831.46
2016-06-04,3493.92
2016-06-05,4034.86
2016-06-06,4296.79
2016-06-07,4236.79
2016-06-08,4070.26
2016-06-09,3929.29
2016-06-10,3847.83
2016-06-11,3755.41
2016-06-12,3572.84
2016-06-13,3315.73
2016-06-14,3032.84
2016-06-15,3000.74
2016-06-16,3282.66
2016-06-17,3755.41
2016-06-18,4165.15
2016-06-19,4381.27
2016-06-20,4551.85
2016-06-21,4910.23
2016-06-22,5457.61
2016-06-23,5942.46
2016-06-24,6245.94
2016-06-25,6462.69
2016-06-26,6698.87
2016-06-27,6906.85
2016-06-28,7101.54
2016-06-29,7249.27
2016-06-30,7150.62
2016-07-01,6794.48
2016-07-02,6478.31
2016-07-03,6307.5
2016-07-04,6292.09
2016-07-05,6478.31
2016-07-06,6826.5
2016-07-07,7101.54
2016-07-08,7298.83
2016-07-09,7431.81
2016-07-10,7481.97
2016-07-11,7481.97
2016-07-12,7415.12
2016-07-13,7216.31
2016-07-14,6714.76
2016-07-15,5957.46
2016-07-16,5061.8
2016-07-17,4502.9
2016-07-18,4613.72
2016-07-19,5006.43
2016-07-20,5400.19
2016-07-21,5690.21
2016-07-22,6032.74
2016-07-23,6415.95
2016-07-24,6810.48
2016-07-25,7365.18
2016-07-26,7735.2
2016-07-27,8061.78
2016-07-28,8359.48
2016-07-29,8590.63
2016-07-30,8752.42
2016-07-31,8806.68
2016-08-01,8680.33
2016-08-02,8271.38
2016-08-03,7684.23
2016-08-04,7150.62
2016-08-05,6874.66
2016-08-06,6619.69
2016-08-07,6431.51
2016-08-08,6384.87
2016-08-09,6322.94
2016-08-10,6261.3
2016-08-11,6032.74
2016-08-12,5690.21
2016-08-13,5272.06
2016-08-14,4760.87
2016-08-15,4393.38
2016-08-16,4177.06
2016-08-17,4105.76
2016-08-18,4188.98
2016-08-19,4188.98
2016-08-20,4011.32
2016-08-21,3652.35
2016-08-22,3393.3
2016-08-23,3032.84
2016-08-24,2748.05
2016-08-25,2624.49
2016-08-26,2675.75
2016-08-27,3326.77
2016-08-28,3789.98
2016-08-29,3917.62
2016-08-30,3766.93
2016-08-31,3493.92
2016-09-01,3205.94
2016-09-02,2841.94
2016-09-03,2583.73
2016-09-04,2373.21
2016-09-05,2197.55
2016-09-06,2082.95
2016-09-07,2064.05
2016-09-08,2168.71
2016-09-09,2353.47
2016-09-10,2644.96
2016-09-11,2915.69
2016-09-12,3043.56
2016-09-13,3000.74
2016-09-14,2968.75
2016-09-15,3032.84
2016-09-16,3195.02
2016-09-17,3326.77
2016-09-18,3348.9
2016-09-19,3415.58
2016-09-20,3743.92
2016-09-21,3813.08
2016-09-22,3505.16
2016-09-23,3022.13
2016-09-24,2593.9
2016-09-25,2353.47
2016-09-26,2255.6
2016-09-27,2101.91
2016-09-28,1933.34
2016-09-29,1787.48
2016-09-30,1689.42
2016-10-01,1601.88
2016-10-02,1473.49
2016-10-03,1423.14
2016-10-04,1381.63
2016-10-05,1348.71
2016-10-06,1332.35
2016-10-07,1299.83
2016-10-08,1267.58
2016-10-09,1211.78
2016-10-10,1180.27
2016-10-11,1118.09
2016-10-12,1087.42
2016-10-13,1087.42
2016-10-14,1079.8
2016-10-15,1057.03
2016-10-16,1041.95
2016-10-17,1004.55
2016-10-18,982.33
2016-10-19,945.66
2016-10-20,916.66
2016-10-21,902.27
2016-10-22,880.83
2016-10-23,880.83
2016-10-24,873.72
2016-10-25,902.27
2016-10-26,974.96
2016-10-27,1118.09
2016-10-28,1259.55
2016-10-29,1307.93
2016-10-30,1267.58
2016-10-31,1219.7
2016-11-01,1164.62
2016-11-02,1110.4
2016-11-03,1064.6
2016-11-04,1049.48
2016-11-05,1026.93
2016-11-06,967.6
2016-11-07,931.12
2016-11-08,909.45
2016-11-09,945.66
2016-11-10,952.95
2016-11-11,931.12
2016-11-12,902.27
2016-11-13,873.72
2016-11-14,859.56
2016-11-15,831.47
2016-11-16,789.92
2016-11-17,762.62
2016-11-18,742.35
2016-11-19,735.63
2016-11-20,755.84
2016-11-21,783.07
2016-11-22,887.96
2016-11-23,1064.6
2016-11-24,1172.44
2016-11-25,1251.55
2016-11-26,1291.74
2016-11-27,1275.61
2016-11-28,1251.55
2016-11-29,1219.7
2016-11-30,1156.83
2016-12-01,1102.72
2016-12-02,1004.55
2016-12-03,931.12
2016-12-04,817.54
2016-12-05,722.26
2016-12-06,663.11
2016-12-07,630.97
2016-12-08,599.37
2016-12-09,568.32
2016-12-10,543.87
2016-12-11,531.78
2016-12-12,537.81
2016-12-13,549.95
2016-12-14,543.87
2016-12-15,537.81
2016-12-16,531.78
2016-12-17,549.95
2016-12-18,562.17
2016-12-19,580.67
2016-12-20,776.23
2016-12-21,923.88
2016-12-22,1034.43
2016-12-23,1219.7
2016-12-24,1332.35
2016-12-25,1348.71
2016-12-26,1381.63
2016-12-27,1524.42
2016-12-28,1724.87
2016-12-29,1823.59
2016-12-30,1869.06
2016-12-31,1924.12
2017-01-01,1914.9
2017-01-02,1850.83
2017-01-03,1733.77
2017-01-04,1645.46
2017-01-05,1584.56
2017-01-06,1541.52
2017-01-07,1498.88
2017-01-08,1465.06
2017-01-09,1365.13
2017-01-10,1332.35
2017-01-11,1283.67
2017-01-12,1219.7
2017-01-13,1188.13
2017-01-14,1149.04
2017-01-15,1164.62
2017-01-16,1203.88
2017-01-17,1211.78
2017-01-18,1235.59
2017-01-19,1267.58
2017-01-20,1275.61
2017-01-21,1251.55
2017-01-22,1219.7
2017-01-23,1180.27
2017-01-24,1079.8
2017-01-25,1041.95
2017-01-26,1041.95
2017-01-27,1049.48
2017-01-28,1057.03
2017-01-29,1034.43
2017-01-30,967.6
2017-01-31,916.66
2017-02-01,880.83
2017-02-02,859.56
2017-02-03,824.5
2017-02-04,817.54
2017-02-05,887.96
2017-02-06,974.96
2017-02-07,1064.6
2017-02-08,1149.04
2017-02-09,1180.27
2017-02-10,1118.09
2017-02-11,1049.48
2017-02-12,1026.93
2017-02-13,1026.93
2017-02-14,1026.93
2017-02-15,1019.45
2017-02-16,982.33
2017-02-17,938.38
2017-02-18,873.72
2017-02-19,817.54
2017-02-20,769.42
2017-02-21,708.97
2017-02-22,676.11
2017-02-23,682.64
2017-02-24,755.84
2017-02-25,967.6
2017-02-26,1235.59
2017-02-27,1584.56
2017-02-28,1896.52
2017-03-01,1859.94
2017-03-02,1724.87
2017-03-03,1584.56
2017-03-04,1431.49
2017-03-05,1316.06
2017-03-06,1203.88
2017-03-07,1118.09
2017-03-08,1079.8
2017-03-09,1164.62
2017-03-10,1340.52
2017-03-11,1515.89
2017-03-12,1663
2017-03-13,1859.94
2017-03-14,2007.68
2017-03-15,2216.84
2017-03-16,2275.07
2017-03-17,2255.6
2017-03-18,2149.55
2017-03-19,2045.2
2017-03-20,1914.9
2017-03-21,1751.61
2017-03-22,1575.92
2017-03-23,1532.96
2017-03-24,1778.49
2017-03-25,1989.01
2017-03-26,2054.62
2017-03-27,2064.05
2017-03-28,2026.41
2017-03-29,1979.7
2017-03-30,2035.8
2017-03-31,2159.12
2017-04-01,2082.95
2017-04-02,1998.34
2017-04-03,2045.2
2017-04-04,2073.49
2017-04-05,2007.68
2017-04-06,1751.61
2017-04-07,1558.69
2017-04-08,1365.13
2017-04-09,1219.7
2017-04-10,1110.4
2017-04-11,1011.99
2017-04-12,945.66
2017-04-13,916.66
2017-04-14,909.45
2017-04-15,952.95
2017-04-16,1026.93
2017-04-17,1188.13
2017-04-18,1340.52
2017-04-19,1627.98
2017-04-20,1905.71
2017-04-21,2092.42
2017-04-22,2073.49
2017-04-23,1914.9
2017-04-24,1769.51
2017-04-25,1627.98
2017-04-26,1490.4
2017-04-27,1348.71
2017-04-28,1227.64
2017-04-29,1149.04
2017-04-30,1141.28
2017-05-01,1149.04
2017-05-02,1141.28
2017-05-03,1259.55
2017-05-04,1414.81
2017-05-05,1742.68
2017-05-06,2706.66
2017-05-07,3743.92
2017-05-08,4653.63
2017-05-09,5173.43
2017-05-10,5443.23
2017-05-11,5660.88
2017-05-12,5912.51
2017-05-13,6078.12
