data,cota_m
2016-01-01,8.49
2016-01-02,8.53
2016-01-03,8.5
2016-01-04,8.44
2016-01-05,8.43
2016-01-06,8.46
2016-01-07,8.44
2016-01-08,8.46
2016-01-09,8.45
2016-01-10,8.37
2016-01-11,8.31
2016-01-12,8.2
2016-01-13,8.04
2016-01-14,7.81
2016-01-15,7.56
2016-01-16,7.33
2016-01-17,7.11
2016-01-18,6.97
2016-01-19,6.87
2016-01-20,6.74
2016-01-21,6.6
2016-01-22,6.47
2016-01-23,6.32
2016-01-24,6.17
2016-01-25,6.03
2016-01-26,5.91
2016-01-27,5.8
2016-01-28,5.7
2016-01-29,5.62
2016-01-30,5.56
2016-01-31,5.52
2016-02-01,5.47
2016-02-02,5.48
2016-02-03,5.48
2016-02-04,5.47
2016-02-05,5.46
2016-02-06,5.42
2016-02-07,5.4
2016-02-08,5.37
2016-02-09,5.33
2016-02-10,5.33
2016-02-11,5.4
2016-02-12,5.46
2016-02-13,5.51
2016-02-14,5.61
2016-02-15,5.74
2016-02-16,5.87
2016-02-17,5.94
2016-02-18,5.98
2016-02-19,5.99
2016-02-20,6.04
2016-02-21,6.13
2016-02-22,6.35
2016-02-23,6.51
2016-02-24,6.71
2016-02-25,6.97
2016-02-26,7.25
2016-02-27,7.47
2016-02-28,7.59
2016-02-29,7.74
2016-03-01,7.99
2016-03-02,8.34
2016-03-03,8.56
2016-03-04,8.64
2016-03-05,8.61
2016-03-06,8.53
2016-03-07,8.4
2016-03-08,8.25
2016-03-09,8.26
2016-03-10,8.18
2016-03-11,8.04
2016-03-12,7.93
2016-03-13,7.76
2016-03-14,7.5
2016-03-15,7.6
2016-03-16,7.75
2016-03-17,7.67
2016-03-18,7.66
2016-03-19,7.74
2016-03-20,7.87
2016-03-21,8.02
2016-03-22,8.13
2016-03-23,8.17
2016-03-24,8.15
2016-03-25,8.1
2016-03-26,8.04
2016-03-27,8
2016-03-28,8.02
2016-03-29,8.06
2016-03-30,8.23
2016-03-31,8.39
2016-04-01,8.54
2016-04-02,8.7
2016-04-03,8.81
2016-04-04,8.92
2016-04-05,9.05
2016-04-06,9.25
2016-04-07,9.38
2016-04-08,9.63
2016-04-09,9.93
2016-04-10,10.14
2016-04-11,10.28
2016-04-12,10.45
2016-04-13,10.52
2016-04-14,10.61
2016-04-15,10.61
2016-04-16,10.6
2016-04-17,10.59
2016-04-18,10.6
2016-04-19,10.59
2016-04-20,10.58
2016-04-21,10.53
2016-04-22,10.51
2016-04-23,10.55
2016-04-24,10.61
2016-04-25,10.7
2016-04-26,10.83
2016-04-27,10.96
2016-04-28,11.16
2016-04-29,11.37
2016-04-30,11.46
2016-05-01,11.53
2016-05-02,11.55
2016-05-03,11.71
2016-05-04,12.04
2016-05-05,12.19
2016-05-06,12.18
2016-05-07,12.14
2016-05-08,12.12
2016-05-09,12.15
2016-05-10,12.24
2016-05-11,12.34
2016-05-12,12.46
2016-05-13,12.52
2016-05-14,12.53
2016-05-15,12.54
2016-05-16,12.51
2016-05-17,12.5
2016-05-18,12.56
2016-05-19,12.63
2016-05-20,12.7
2016-05-21,12.76
2016-05-22,12.82
2016-05-23,12.86
2016-05-24,12.88
2016-05-25,12.9
2016-05-26,12.95
2016-05-27,13.07
2016-05-28,13.16
2016-05-29,13.24
2016-05-30,13.39
2016-05-31,13.49
2016-06-01,13.51
2016-06-02,13.5
2016-06-03,13.47
2016-06-04,13.45
2016-06-05,13.46
2016-06-06,13.48
2016-06-07,13.5
2016-06-08,13.51
2016-06-09,13.5
2016-06-10,13.46
2016-06-11,13.42
2016-06-12,13.4
2016-06-13,13.55
2016-06-14,13.61
2016-06-15,13.67
2016-06-16,13.7
2016-06-17,13.69
2016-06-18,13.63
2016-06-19,13.56
2016-06-20,13.51
2016-06-21,13.45
2016-06-22,13.41
2016-06-23,13.38
2016-06-24,13.35
2016-06-25,13.29
2016-06-26,13.26
2016-06-27,13.22
2016-06-28,13.2
2016-06-29,13.18
2016-06-30,13.15
2016-07-01,13.14
2016-07-02,13.13
2016-07-03,13.16
2016-07-04,13.2
2016-07-05,13.3
2016-07-06,13.53
2016-07-07,13.78
2016-07-08,13.95
2016-07-09,14.08
2016-07-10,14.19
2016-07-11,14.27
2016-07-12,14.36
2016-07-13,14.42
2016-07-14,14.47
2016-07-15,14.5
2016-07-16,14.51
2016-07-17,14.49
2016-07-18,14.46
2016-07-19,14.45
2016-07-20,14.5
2016-07-21,14.51
2016-07-22,14.49
2016-07-23,14.43
2016-07-24,14.38
2016-07-25,14.35
2016-07-26,14.28
2016-07-27,14.23
2016-07-28,14.17
2016-07-29,14.17
2016-07-30,14.18
2016-07-31,14.15
