data,vazao_m3s
2016-01-01,8081.55
2016-01-02,8175.89
2016-01-03,8105.1
2016-01-04,7964.14
2016-01-05,7940.73
2016-01-06,8011.04
2016-01-07,7964.14
2016-01-08,8011.04
2016-01-09,7987.58
2016-01-10,7800.74
2016-01-11,7661.58
2016-01-12,7408.64
2016-01-13,7045.81
2016-01-14,6534.99
2016-01-15,5994.49
2016-01-16,5511.16
2016-01-17,5061.69
2016-01-18,4787.04
2016-01-19,4601.36
2016-01-20,4363.32
2016-01-21,4111.28
2016-01-22,3881.34
2016-01-23,3621.06
2016-01-24,3366.3
2016-01-25,3133.65
2016-01-26,2938.29
2016-01-27,2762.58
2016-01-28,2605.72
2016-01-29,2482.24
2016-01-30,2390.83
2016-01-31,2330.47
2016-02-01,2255.67
2016-02-02,2270.57
2016-02-03,2270.57
2016-02-04,2255.67
2016-02-05,2240.8
2016-02-06,2181.62
2016-02-07,2152.2
2016-02-08,2108.31
2016-02-09,2050.22
2016-02-10,2050.22
2016-02-11,2152.2
2016-02-12,2240.8
2016-02-13,2315.45
2016-02-14,2466.93
2016-02-15,2668.13
2016-02-16,2874.02
2016-02-17,2986.77
2016-02-18,3051.79
2016-02-19,3068.11
2016-02-20,3150.1
2016-02-21,3299.31
2016-02-22,3672.68
2016-02-23,3951.67
2016-02-24,4308.93
2016-02-25,4787.04
2016-02-26,5346.25
2016-02-27,5803.75
2016-02-28,6058.53
2016-02-29,6382.09
2016-03-01,6933.67
2016-03-02,7731.06
2016-03-03,8246.88
2016-03-04,8437.19
2016-03-05,8365.65
2016-03-06,8175.89
2016-03-07,7870.63
2016-03-08,7523.26
2016-03-09,7546.26
2016-03-10,7362.95
2016-03-11,7045.81
2016-03-12,6799.91
2016-03-13,6425.65
2016-03-14,5867.11
2016-03-15,6079.93
2016-03-16,6403.86
2016-03-17,6230.4
2016-03-18,6208.83
2016-03-19,6382.09
2016-03-20,6667.01
2016-03-21,7000.88
2016-03-22,7249.15
2016-03-23,7340.14
2016-03-24,7294.6
2016-03-25,7181.16
2016-03-26,7045.81
2016-03-27,6956.05
2016-03-28,7000.88
2016-03-29,7090.83
2016-03-30,7477.34
2016-03-31,7847.31
2016-04-01,8199.53
2016-04-02,8580.86
2016-04-03,8846.37
2016-04-04,9114.55
2016-04-05,9434.92
2016-04-06,9934.94
2016-04-07,10264.5
2016-04-08,10908.4
2016-04-09,11698
2016-04-10,12261.6
2016-04-11,12642.2
2016-04-12,13109.6
2016-04-13,13303.6
2016-04-14,13554.6
2016-04-15,13554.6
2016-04-16,13526.6
2016-04-17,13498.7
2016-04-18,13526.6
2016-04-19,13498.7
2016-04-20,13470.8
2016-04-21,13331.4
2016-04-22,13275.9
2016-04-23,13387.1
2016-04-24,13554.6
2016-04-25,13807
2016-04-26,14174.5
2016-04-27,14545.1
2016-04-28,15121.5
2016-04-29,15734.7
2016-04-30,15999.9
2016-05-01,16207.3
2016-05-02,16266.7
2016-05-03,16744.5
2016-05-04,17744.5
2016-05-05,18205.3
2016-05-06,18174.5
2016-05-07,18051.3
2016-05-08,17989.8
2016-05-09,18082.1
2016-05-10,18359.8
2016-05-11,18670.1
2016-05-12,19044.8
2016-05-13,19233
2016-05-14,19264.5
2016-05-15,19295.9
2016-05-16,19201.6
2016-05-17,19170.2
2016-05-18,19358.9
2016-05-19,19579.8
2016-05-20,19801.5
2016-05-21,19992.2
2016-05-22,20183.5
2016-05-23,20311.4
2016-05-24,20375.4
2016-05-25,20439.5
2016-05-26,20600.1
2016-05-27,20987.1
2016-05-28,21279
2016-05-29,21539.6
2016-05-30,22030.9
2016-05-31,22360.6
2016-06-01,22426.7
2016-06-02,22393.6
2016-06-03,22294.5
2016-06-04,22228.5
2016-06-05,22261.5
2016-06-06,22327.5
2016-06-07,22393.6
2016-06-08,22426.7
2016-06-09,22393.6
2016-06-10,22261.5
2016-06-11,22129.7
2016-06-12,22063.8
2016-06-13,22559.1
2016-06-14,22758.3
2016-06-15,22958
2016-06-16,23058.1
2016-06-17,23024.7
2016-06-18,22824.8
2016-06-19,22592.3
2016-06-20,22426.7
2016-06-21,22228.5
2016-06-22,22096.7
2016-06-23,21998.1
2016-06-24,21899.5
2016-06-25,21702.9
2016-06-26,21604.9
2016-06-27,21474.3
2016-06-28,21409.1
2016-06-29,21344
2016-06-30,21246.5
2016-07-01,21214
2016-07-02,21181.6
2016-07-03,21279
2016-07-04,21409.1
2016-07-05,21735.7
2016-07-06,22492.9
2016-07-07,23325.7
2016-07-08,23897.8
2016-07-09,24338.3
2016-07-10,24713.2
2016-07-11,24987
2016-07-12,25296.3
2016-07-13,25503.1
2016-07-14,25676
2016-07-15,25779.8
2016-07-16,25814.5
2016-07-17,25745.2
2016-07-18,25641.4
2016-07-19,25606.8
2016-07-20,25779.8
2016-07-21,25814.5
2016-07-22,25745.2
2016-07-23,25537.7
2016-07-24,25365.2
2016-07-25,25261.8
2016-07-26,25021.3
2016-07-27,24850
2016-07-28,24644.9
2016-07-29,24644.9
2016-07-30,24679
2016-07-31,24576.6
2016-08-01,24474.4
2016-08-02,24304.3
2016-08-03,23999.2
2016-08-04,23729
2016-08-05,23493.5
2016-08-06,23292.2
2016-08-07,22991.4
2016-08-08,22625.5
2016-08-09,22294.5
2016-08-10,21932.4
2016-08-11,21572.2
2016-08-12,21181.6
2016-08-13,20793.3
2016-08-14,20343.4
2016-08-15,20055.9
2016-08-16,19674.7
2016-08-17,19264.5
2016-08-18,18919.6
2016-08-19,18421.8
2016-08-20,17989.8
2016-08-21,17500.3
2016-08-22,17045.5
2016-08-23,16564.8
2016-08-24,16059.1
2016-08-25,15764.1
2016-08-26,15529.4
2016-08-27,15383.3
2016-08-28,15266.7
2016-08-29,15034.5
2016-08-30,15237.6
2016-08-31,15121.5
2016-09-01,15005.6
2016-09-02,14316.6
2016-09-03,13835.2
2016-09-04,13387.1
2016-09-05,12888.9
2016-09-06,12424.3
2016-09-07,12019
2016-09-08,11698
2016-09-09,11012.6
2016-09-10,10572
2016-09-11,10290
2016-09-12,10112
2016-09-13,10036
2016-09-14,10010.7
2016-09-15,10443.5
2016-09-16,10908.4
2016-09-17,11300.9
2016-09-18,11724.7
2016-09-19,12099.7
2016-09-20,12370
2016-09-21,12370
2016-09-22,12207.5
2016-09-23,11751.3
2016-09-24,11300.9
2016-09-25,10986.5
2016-09-26,10726.8
2016-09-27,10572
2016-09-28,10469.1
2016-09-29,10341.1
2016-09-30,10086.6
2016-10-01,9658.86
2016-10-02,9261.95
2016-10-03,9188.15
2016-10-04,9335.95
2016-10-05,9509.37
2016-10-06,9559.11
2016-10-07,9559.11
2016-10-08,9758.95
2016-10-09,9960.16
2016-10-10,10086.6
2016-10-11,10417.9
2016-10-12,10700.9
2016-10-13,10856.4
2016-10-14,11143.3
2016-10-15,11300.9
2016-10-16,11353.6
2016-10-17,11327.2
2016-10-18,11222
2016-10-19,11064.8
2016-10-20,10856.4
2016-10-21,10675.1
2016-10-22,10239
2016-10-23,9909.73
2016-10-24,9683.85
2016-10-25,9608.94
2016-10-26,9509.37
2016-10-27,9286.6
2016-10-28,9434.92
2016-10-29,10061.3
2016-10-30,10417.9
2016-10-31,10572
2016-11-01,10572
2016-11-02,10520.5
2016-11-03,10315.6
2016-11-04,10036
2016-11-05,9758.95
2016-11-06,9960.16
2016-11-07,10264.5
2016-11-08,10213.6
2016-11-09,10010.7
2016-11-10,9758.95
2016-11-11,9484.53
2016-11-12,9237.33
2016-11-13,8992.32
2016-11-14,8797.89
2016-11-15,8580.86
2016-11-16,8318.08
2016-11-17,8058.02
2016-11-18,7824.02
2016-11-19,7638.47
2016-11-20,7454.42
2016-11-21,7181.16
2016-11-22,6956.05
2016-11-23,7023.33
2016-11-24,7226.46
2016-11-25,7592.32
2016-11-26,8437.19
2016-11-27,9633.89
2016-11-28,10264.5
2016-11-29,10597.7
2016-11-30,10726.8
2016-12-01,10649.3
2016-12-02,10392.3
2016-12-03,10137.3
2016-12-04,9909.73
2016-12-05,9733.9
2016-12-06,9658.86
2016-12-07,9584.02
2016-12-08,9434.92
2016-12-09,9237.33
2016-12-10,9090.06
2016-12-11,8870.63
2016-12-12,8870.63
2016-12-13,9090.06
2016-12-14,9385.39
2016-12-15,9658.86
2016-12-16,9934.94
2016-12-17,10213.6
2016-12-18,10597.7
2016-12-19,10908.4
2016-12-20,11248.3
2016-12-21,11618.2
2016-12-22,12019
2016-12-23,12533.1
2016-12-24,12971.5
2016-12-25,13387.1
2016-12-26,13948
2016-12-27,14402.2
2016-12-28,14832.3
2016-12-29,15034.5
2016-12-30,15529.4
2016-12-31,16237
2017-01-01,16744.5
2017-01-02,17075.7
2017-01-03,17287.5
2017-01-04,17469.8
2017-01-05,17744.5
2017-01-06,18051.3
2017-01-07,18174.5
2017-01-08,18421.8
2017-01-09,18545.8
2017-01-10,18607.9
2017-01-11,18576.9
2017-01-12,18639
2017-01-13,18670.1
2017-01-14,18607.9
2017-01-15,18576.9
2017-01-16,18607.9
2017-01-17,18483.8
2017-01-18,18051.3
2017-01-19,17500.3
2017-01-20,16894.8
2017-01-21,16207.3
2017-01-22,15646.6
2017-01-23,14918.9
2017-01-24,13948
2017-01-25,12888.9
2017-01-26,11751.3
2017-01-27,10726.8
2017-01-28,9834.25
2017-01-29,9237.33
2017-01-30,9041.14
2017-01-31,9212.73
2017-02-01,10162.7
2017-02-02,11091
2017-02-03,11698
2017-02-04,12207.5
2017-02-05,12779.1
2017-02-06,13192.6
2017-02-07,13694.6
2017-02-08,14174.5
2017-02-09,14487.9
2017-02-10,14487.9
2017-02-11,14259.7
2017-02-12,13891.5
2017-02-13,13498.7
2017-02-14,13026.7
2017-02-15,12478.6
2017-02-16,11804.7
2017-02-17,11012.6
2017-02-18,10239
2017-02-19,9385.39
2017-02-20,8870.63
