data,cota_m
2016-01-01,15.3
2016-01-02,15.52
2016-01-03,15.78
2016-01-04,15.91
2016-01-05,16.03
2016-01-06,16.15
2016-01-07,16.31
2016-01-08,16.44
2016-01-09,16.51
2016-01-10,16.5
2016-01-11,16.46
2016-01-12,16.42
2016-01-13,16.33
2016-01-14,16.36
2016-01-15,16.48
2016-01-16,16.65
2016-01-17,16.88
2016-01-18,17.21
2016-01-19,17.53
2016-01-20,17.76
2016-01-21,17.9
2016-01-22,17.96
2016-01-23,17.99
2016-01-24,18.06
2016-01-25,18.15
2016-01-26,18.26
2016-01-27,18.18
2016-01-28,17.91
2016-01-29,17.66
2016-01-30,17.43
2016-01-31,17.29
2016-02-01,17.04
2016-02-02,17.16
2016-02-03,17.2
2016-02-04,17.34
2016-02-05,17.58
2016-02-06,17.94
2016-02-07,18.26
2016-02-08,18.63
2016-02-09,18.92
2016-02-10,19.15
2016-02-11,19.28
2016-02-12,19.04
2016-02-13,18.89
2016-02-14,18.83
2016-02-15,18.65
2016-02-16,18.46
2016-02-17,18.53
2016-02-18,18.6
2016-02-19,18.35
2016-02-20,18.01
2016-02-21,17.99
2016-02-22,18.2
2016-02-23,18.48
2016-02-24,18.6
2016-02-25,18.71
2016-02-26,18.74
2016-02-27,19.36
2016-02-28,19.47
2016-02-29,20.08
2016-03-01,20.29
2016-03-02,20.49
2016-03-03,20.69
2016-03-04,20.86
2016-03-05,21.01
2016-03-06,21.18
2016-03-07,21.31
2016-03-08,21.39
2016-03-09,21.49
2016-03-10,21.57
2016-03-11,21.66
2016-03-12,21.7
2016-03-13,21.7
2016-03-14,21.7
2016-03-15,21.72
2016-03-16,21.73
2016-03-17,21.74
2016-03-18,21.76
2016-03-19,21.8
2016-03-20,21.74
2016-03-21,21.64
2016-03-22,21.53
2016-03-23,21.37
2016-03-24,21.23
2016-03-25,21.18
2016-03-26,21.14
2016-03-27,21.11
2016-03-28,21.07
2016-03-29,21.14
2016-03-30,21.24
2016-03-31,21.36
2016-04-01,21.49
2016-04-02,21.55
2016-04-03,21.62
2016-04-04,21.68
2016-04-05,21.63
2016-04-06,21.59
2016-04-07,21.57
2016-04-08,21.52
2016-04-09,21.42
2016-04-10,21.31
2016-04-11,21.23
2016-04-12,21.16
2016-04-13,21.14
2016-04-14,21.04
2016-04-15,20.93
2016-04-16,20.83
2016-04-17,20.76
2016-04-18,20.67
2016-04-19,20.66
2016-04-20,20.67
2016-04-21,20.7
2016-04-22,20.7
2016-04-23,20.65
2016-04-24,20.52
2016-04-25,20.45
2016-04-26,20.44
2016-04-27,20.48
2016-04-28,20.48
2016-04-29,20.41
2016-04-30,20.4
2016-05-01,20.45
2016-05-02,20.56
2016-05-03,20.61
2016-05-04,20.54
2016-05-05,20.33
2016-05-06,20.07
2016-05-07,19.82
2016-05-08,19.58
2016-05-09,19.37
2016-05-10,19.12
2016-05-11,18.89
2016-05-12,18.64
2016-05-13,18.28
2016-05-14,18.13
2016-05-15,18.1
2016-05-16,18.1
2016-05-17,18.16
2016-05-18,18.24
2016-05-19,18.36
2016-05-20,18.44
2016-05-21,18.44
2016-05-22,18.35
2016-05-23,18.18
2016-05-24,17.99
2016-05-25,17.83
2016-05-26,17.65
2016-05-27,17.52
2016-05-28,17.38
2016-05-29,17.16
2016-05-30,17.01
2016-05-31,16.83
2016-06-01,16.68
2016-06-02,16.56
2016-06-03,16.43
2016-06-04,16.32
2016-06-05,16.27
2016-06-06,16.17
2016-06-07,16
2016-06-08,15.8
2016-06-09,15.6
2016-06-10,15.47
2016-06-11,15.54
2016-06-12,15.94
2016-06-13,16.32
2016-06-14,16.38
2016-06-15,16.28
2016-06-16,16.06
2016-06-17,15.67
2016-06-18,15.44
2016-06-19,15.21
2016-06-20,14.85
2016-06-21,14.6
2016-06-22,14.44
2016-06-23,14.25
2016-06-24,14.06
2016-06-25,13.94
2016-06-26,13.83
2016-06-27,13.64
2016-06-28,13.51
2016-06-29,13.38
2016-06-30,13.26
2016-07-01,13.12
2016-07-02,13.04
2016-07-03,12.92
2016-07-04,12.78
2016-07-05,12.81
2016-07-06,13.01
2016-07-07,13.1
2016-07-08,12.99
2016-07-09,12.93
2016-07-10,12.73
2016-07-11,12.58
2016-07-12,12.39
2016-07-13,12.19
2016-07-14,12.05
2016-07-15,12.12
2016-07-16,12.36
2016-07-17,12.46
2016-07-18,12.35
2016-07-19,12.24
2016-07-20,12.02
2016-07-21,11.82
2016-07-22,11.66
2016-07-23,11.59
2016-07-24,11.53
2016-07-25,11.5
2016-07-26,11.49
2016-07-27,11.43
2016-07-28,11.36
2016-07-29,11.22
2016-07-30,11.09
2016-07-31,10.99
2016-08-01,10.82
2016-08-02,10.7
2016-08-03,10.55
2016-08-04,10.49
2016-08-05,10.44
2016-08-06,10.37
2016-08-07,10.29
2016-08-08,10.28
2016-08-09,10.23
2016-08-10,10.2
2016-08-11,10.2
2016-08-12,10.06
2016-08-13,9.91
2016-08-14,9.8
2016-08-15,9.8
2016-08-16,9.72
2016-08-17,9.61
2016-08-18,9.64
2016-08-19,9.84
2016-08-20,10.07
2016-08-21,10.21
2016-08-22,10.39
