data,vazao_m3s
2016-01-01,15835
2016-01-02,16412.4
2016-01-03,17104.4
2016-01-04,17454.3
2016-01-05,17779.5
2016-01-06,18107
2016-01-07,18547
2016-01-08,18907.3
2016-01-09,19102.3
2016-01-10,19074.4
2016-01-11,18962.9
2016-01-12,18851.7
2016-01-13,18602.2
2016-01-14,18685.2
2016-01-15,19018.6
2016-01-16,19494.6
2016-01-17,20145.4
2016-01-18,21015.7
2016-01-19,21806.6
2016-01-20,22381.8
2016-01-21,22734.6
2016-01-22,22886.5
2016-01-23,22962.6
2016-01-24,23140.4
2016-01-25,23369.9
2016-01-26,23651.5
2016-01-27,23446.5
2016-01-28,22759.9
2016-01-29,22131
2016-01-30,21558.2
2016-01-31,21212.4
2016-02-01,20600
2016-02-02,20893.1
2016-02-03,20991.2
2016-02-04,21335.7
2016-02-05,21931.1
2016-02-06,22835.8
2016-02-07,23651.5
2016-02-08,24607.8
2016-02-09,25367.3
2016-02-10,25975.8
2016-02-11,26322.2
2016-02-12,25684.1
2016-02-13,25288.4
2016-02-14,25130.7
2016-02-15,24659.9
2016-02-16,24166.7
2016-02-17,24348
2016-02-18,24529.8
2016-02-19,23882.8
2016-02-20,23013.3
2016-02-21,22962.6
2016-02-22,23497.7
2016-02-23,24218.4
2016-02-24,24529.8
2016-02-25,24816.5
2016-02-26,24894.9
2016-02-27,26536.1
2016-02-28,26831.4
2016-02-29,28490.9
2016-03-01,29070.9
2016-03-02,29627.2
2016-03-03,30187.5
2016-03-04,30666.9
2016-03-05,31092.2
2016-03-06,31576.9
2016-03-07,31949.4
2016-03-08,32179.5
2016-03-09,32467.9
2016-03-10,32699.3
2016-03-11,32960.5
2016-03-12,33076.8
2016-03-13,33076.8
2016-03-14,33076.8
2016-03-15,33141.9
2016-03-16,33217.5
2016-03-17,33293.1
2016-03-18,33444.6
2016-03-19,33748.4
2016-03-20,33293.1
2016-03-21,32902.4
2016-03-22,32583.5
2016-03-23,32121.9
2016-03-24,31720
2016-03-25,31576.9
2016-03-26,31462.6
2016-03-27,31377
2016-03-28,31262.9
2016-03-29,31462.6
2016-03-30,31748.6
2016-03-31,32093.1
2016-04-01,32467.9
2016-04-02,32641.4
2016-04-03,32844.3
2016-04-04,33018.6
2016-04-05,32873.3
2016-04-06,32757.3
2016-04-07,32699.3
2016-04-08,32554.6
2016-04-09,32265.9
2016-04-10,31949.4
2016-04-11,31720
2016-04-12,31519.7
2016-04-13,31462.6
2016-04-14,31177.5
2016-04-15,30865.1
2016-04-16,30582.1
2016-04-17,30384.6
2016-04-18,30131.3
2016-04-19,30103.2
2016-04-20,30131.3
2016-04-21,30215.7
2016-04-22,30215.7
2016-04-23,30075.2
2016-04-24,29711
2016-04-25,29515.6
2016-04-26,29487.8
2016-04-27,29599.3
2016-04-28,29599.3
2016-04-29,29404.2
2016-04-30,29376.4
2016-05-01,29515.6
2016-05-02,29822.9
2016-05-03,29962.9
2016-05-04,29766.9
2016-05-05,29181.8
2016-05-06,28463.4
2016-05-07,27779
2016-05-08,27127.9
2016-05-09,26562.9
2016-05-10,25896.2
2016-05-11,25288.4
2016-05-12,24633.9
2016-05-13,23702.8
2016-05-14,23318.8
2016-05-15,23242.3
2016-05-16,23242.3
2016-05-17,23395.4
2016-05-18,23600.2
2016-05-19,23908.5
2016-05-20,24115
2016-05-21,24115
2016-05-22,23882.8
2016-05-23,23446.5
2016-05-24,22962.6
2016-05-25,22557.9
2016-05-26,22106
2016-05-27,21781.7
2016-05-28,21434.5
2016-05-29,20893.1
2016-05-30,20516.7
2016-05-31,20003.3
2016-06-01,19579.1
2016-06-02,19242.1
2016-06-03,18879.5
2016-06-04,18574.6
2016-06-05,18436.6
2016-06-06,18161.8
2016-06-07,17698
2016-06-08,17158
