data,cota_m
2023-04-01,12.3
2023-04-02,12.34
2023-04-03,12.4
2023-04-04,12.43
2023-04-05,12.47
2023-04-06,12.5
2023-04-07,12.54
2023-04-08,12.57
2023-04-09,12.6
2023-04-10,12.64
2023-04-11,12.68
2023-04-12,12.69
2023-04-13,12.73
2023-04-14,12.74
2023-04-15,12.77
2023-04-16,12.8
2023-04-17,12.85
2023-04-18,12.88
2023-04-19,12.92
2023-04-20,12.94
2023-04-21,12.96
2023-04-22,13
2023-04-23,13.09
2023-04-24,13.11
2023-04-25,13.12
2023-04-26,13.15
2023-04-27,13.18
2023-04-28,13.19
2023-04-29,13.22
2023-04-30,13.24
2023-05-01,13.26
2023-05-02,13.3
2023-05-03,13.33
2023-05-04,13.35
2023-05-05,13.37
2023-05-06,13.41
2023-05-07,13.43
2023-05-08,13.45
2023-05-09,13.47
2023-05-10,13.49
2023-05-11,13.51
2023-05-12,13.53
2023-05-13,13.56
2023-05-14,13.57
2023-05-15,13.58
2023-05-16,13.59
2023-05-17,13.63
2023-05-18,13.65
2023-05-19,13.66
2023-05-20,13.68
2023-05-21,13.69
2023-05-22,13.7
2023-05-23,13.7
2023-05-24,13.73
2023-05-25,13.74
2023-05-26,13.75
2023-05-27,13.75
2023-05-28,13.74
2023-05-29,13.76
2023-05-30,13.76
2023-05-31,13.75
2023-06-01,13.76
2023-06-02,13.76
2023-06-03,13.75
2023-06-04,13.76
2023-06-05,13.75
2023-06-06,13.76
2023-06-07,13.76
2023-06-08,13.76
2023-06-09,13.76
2023-06-10,13.76
2023-06-11,13.76
2023-06-12,13.76
2023-06-13,13.74
2023-06-14,13.73
2023-06-15,13.74
2023-06-16,13.73
2023-06-17,13.69
2023-06-18,13.69
2023-06-19,13.69
2023-06-20,13.67
2023-06-21,13.66
2023-06-22,13.64
2023-06-23,13.63
2023-06-24,13.61
2023-06-25,13.6
2023-06-26,13.57
2023-06-27,13.55
2023-06-28,13.52
2023-06-29,13.49
2023-06-30,13.47
