data,vazao_m3s
2016-01-01,3213.97
2016-01-02,3519.99
2016-01-03,3828.73
2016-01-04,4097.92
2016-01-05,4322.29
2016-01-06,4509.77
2016-01-07,4732.51
2016-01-08,4814.27
2016-01-09,4915.87
2016-01-10,5005.64
2016-01-11,5122.26
2016-01-12,5220.47
2016-01-13,5319.62
2016-01-14,5460
2016-01-15,5622.69
2016-01-16,5760.1
2016-01-17,5927.19
2016-01-18,6047
2016-01-19,6160.87
2016-01-20,6311.93
2016-01-21,6450.19
2016-01-22,6575.18
2016-01-23,6664.12
2016-01-24,6738.71
2016-01-25,6798.67
2016-01-26,6851.36
2016-01-27,6874.01
2016-01-28,6874.01
2016-01-29,6874.01
2016-01-30,6858.91
2016-01-31,6813.71
2016-02-01,6768.66
2016-02-02,6708.82
2016-02-03,6612.16
2016-02-04,6553.03
2016-02-05,6457.51
2016-02-06,6384.51
2016-02-07,6311.93
2016-02-08,6239.77
2016-02-09,6189.5
2016-02-10,6160.87
2016-02-11,6153.72
2016-02-12,6189.5
2016-02-13,6246.96
2016-02-14,6311.93
2016-02-15,6428.26
2016-02-16,6523.57
2016-02-17,6664.12
2016-02-18,6761.16
2016-02-19,6866.46
2016-02-20,6980.18
2016-02-21,7064.17
2016-02-22,7148.67
2016-02-23,7210.44
2016-02-24,7272.47
2016-02-25,7342.58
2016-02-26,7405.19
2016-02-27,7475.93
2016-02-28,7570.79
2016-02-29,7714.2
2016-03-01,7899.42
2016-03-02,8054.09
2016-03-03,8193.76
2016-03-04,8326.31
2016-03-05,8468.32
2016-03-06,8636.94
2016-03-07,8764.5
2016-03-08,8910.2
2016-03-09,9057.11
2016-03-10,9179
2016-03-11,9284.13
2016-03-12,9416.39
2016-03-13,9540.67
2016-03-14,9674.75
2016-03-15,9764.65
2016-03-16,9836.88
2016-03-17,9909.37
2016-03-18,9973.02
2016-03-19,10027.7
2016-03-20,10073.5
2016-03-21,10137.6
2016-03-22,10165.2
2016-03-23,10202
2016-03-24,10220.5
2016-03-25,10279.7
2016-03-26,10325.3
2016-03-27,10462.9
2016-03-28,10647.4
2016-03-29,10786.6
2016-03-30,10786.6
2016-03-31,10809.9
2016-04-01,10809.9
2016-04-02,10833.2
2016-04-03,10833.2
2016-04-04,10833.2
2016-04-05,10809.9
2016-04-06,10809.9
2016-04-07,10809.9
2016-04-08,10809.9
2016-04-09,10786.6
2016-04-10,10763.3
2016-04-11,10740.1
2016-04-12,10716.9
2016-04-13,10670.5
2016-04-14,10624.2
2016-04-15,10531.9
2016-04-16,10302.5
2016-04-17,10229.7
2016-04-18,10220.5
2016-04-19,10211.2
2016-04-20,10192.8
2016-04-21,10156
2016-04-22,10091.8
2016-04-23,10036.9
2016-04-24,9991.25
2016-04-25,9945.72
2016-04-26,9891.22
2016-04-27,9845.93
2016-04-28,9827.84
2016-04-29,9773.67
2016-04-30,9710.66
2016-05-01,9647.86
2016-05-02,9576.34
2016-05-03,9505.08
2016-05-04,9434.09
2016-05-05,9336.92
2016-05-06,9231.49
2016-05-07,9126.66
2016-05-08,9031.1
2016-05-09,8893
2016-05-10,8755.96
2016-05-11,8594.63
2016-05-12,8426.43
2016-05-13,8284.78
2016-05-14,8095.05
2016-05-15,7858.97
2016-05-16,7642.33
2016-05-17,7397.35
2016-05-18,7194.97
2016-05-19,6911.83
2016-05-20,6582.56
2016-05-21,6348.17
2016-05-22,6239.77
2016-05-23,6125.17
2016-05-24,5990.47
2016-05-25,5906.18
2016-05-26,5780.86
2016-05-27,5615.87
2016-05-28,5406.31
2016-05-29,5057.3
2016-05-30,4896.74
2016-05-31,4776.45
2016-06-01,4645.25
2016-06-02,4552.66
2016-06-03,4370.29
2016-06-04,4244.85
2016-06-05,4074.66
2016-06-06,3890.91
2016-06-07,3772.65
2016-06-08,3656.21
2016-06-09,3530.8
2016-06-10,3386.37
2016-06-11,3291.78
2016-06-12,3177.98
2016-06-13,3116.76
2016-06-14,3041.08
2016-06-15,2986.17
2016-06-16,2961.38
2016-06-17,2936.69
2016-06-18,2887.63
2016-06-19,2805.17
2016-06-20,2762.01
2016-06-21,2733.42
2016-06-22,2671.98
2016-06-23,2629.86
2016-06-24,2546.63
2016-06-25,2464.74
2016-06-26,2370.9
2016-06-27,2291.93
2016-06-28,2100.37
2016-06-29,2034.29
2016-06-30,1993.53
2016-07-01,1945.16
2016-07-02,1913.24
2016-07-03,1897.38
2016-07-04,1850.21
2016-07-05,1819.09
2016-07-06,1788.24
2016-07-07,1682.34
2016-07-08,1719.79
2016-07-09,1678.62
2016-07-10,1648.18
2016-07-11,1617.89
2016-07-12,1591.52
2016-07-13,1554.07
2016-07-14,1524.29
2016-07-15,1498.37
2016-07-16,1476.26
2016-07-17,1461.57
2016-07-18,1439.62
2016-07-19,1417.76
2016-07-20,1399.62
2016-07-21,1385.15
2016-07-22,1374.33
2016-07-23,1359.94
2016-07-24,1342.02
2016-07-25,1324.17
2016-07-26,1302.83
2016-07-27,1278.07
2016-07-28,1249.94
2016-07-29,1221.98
2016-07-30,1194.22
2016-07-31,1173.51
2016-08-01,1156.34
2016-08-02,1142.65
2016-08-03,1122.21
2016-08-04,1101.87
2016-08-05,1085.01
2016-08-06,1061.53
2016-08-07,1038.19
2016-08-08,1021.62
2016-08-09,1005.12
2016-08-10,985.43
2016-08-11,965.84
2016-08-12,949.61
2016-08-13,933.46
2016-08-14,917.39
2016-08-15,907.78
2016-08-16,898.21
2016-08-17,888.66
2016-08-18,879.15
2016-08-19,872.82
2016-08-20,869.66
2016-08-21,863.35
2016-08-22,857.06
2016-08-23,847.64
2016-08-24,841.38
2016-08-25,828.9
2016-08-26,822.68
2016-08-27,813.37
2016-08-28,807.18
2016-08-29,801.01
2016-08-30,794.85
2016-08-31,791.77
2016-09-01,791.77
2016-09-02,794.85
2016-09-03,794.85
2016-09-04,794.85
2016-09-05,797.93
2016-09-06,797.93
2016-09-07,794.85
2016-09-08,785.63
2016-09-09,776.45
2016-09-10,764.26
2016-09-11,755.15
2016-09-12,740.03
2016-09-13,734.01
2016-09-14,722.01
2016-09-15,716.04
2016-09-16,707.1
2016-09-17,701.16
2016-09-18,695.23
2016-09-19,695.23
2016-09-20,695.23
2016-09-21,701.16
2016-09-22,707.1
2016-09-23,716.04
2016-09-24,728.01
