data,cota_m
2023-04-01,16.74
2023-04-02,16.79
2023-04-03,16.86
2023-04-04,16.89
2023-04-05,16.95
2023-04-06,16.98
2023-04-07,17.03
2023-04-08,17.08
2023-04-09,17.16
2023-04-10,17.19
2023-04-11,17.23
2023-04-12,17.27
2023-04-13,17.3
2023-04-14,17.34
2023-04-15,17.38
2023-04-16,17.42
2023-04-17,17.48
2023-04-18,17.54
2023-04-19,17.58
2023-04-20,17.61
2023-04-21,17.65
2023-04-22,17.68
2023-04-23,17.78
2023-04-24,17.81
2023-04-25,17.84
2023-04-26,17.87
2023-04-27,17.92
2023-04-28,17.94
2023-04-29,17.98
2023-04-30,18.02
2023-05-01,18.06
2023-05-02,18.1
2023-05-03,18.14
2023-05-04,18.18
2023-05-05,18.22
2023-05-06,18.27
2023-05-07,18.31
2023-05-08,18.36
2023-05-09,18.4
2023-05-10,18.44
2023-05-11,18.48
2023-05-12,18.53
2023-05-13,18.56
2023-05-14,18.59
2023-05-15,18.61
2023-05-16,18.65
2023-05-17,18.69
2023-05-18,18.72
2023-05-19,18.75
2023-05-20,18.77
2023-05-21,18.8
2023-05-22,18.82
2023-05-23,18.84
2023-05-24,18.88
2023-05-25,18.9
2023-05-26,18.93
2023-05-27,18.96
2023-05-28,18.97
2023-05-29,18.99
2023-05-30,19.01
2023-05-31,19.02
2023-06-01,19.04
2023-06-02,19.05
2023-06-03,19.06
2023-06-04,19.09
2023-06-05,19.1
2023-06-06,19.13
2023-06-07,19.13
2023-06-08,19.15
2023-06-09,19.15
2023-06-10,19.16
2023-06-11,19.17
2023-06-12,19.18
2023-06-13,19.18
2023-06-14,19.19
2023-06-15,19.21
2023-06-16,19.19
2023-06-17,19.18
2023-06-18,19.18
2023-06-19,19.2
2023-06-20,19.19
2023-06-21,19.18
2023-06-22,19.17
2023-06-23,19.16
2023-06-24,19.15
2023-06-25,19.14
2023-06-26,19.12
2023-06-27,19.1
2023-06-28,19.08
2023-06-29,19.07
2023-06-30,19.04
