data,cota_m
2023-04-01,25.97
2023-04-02,26.01
2023-04-03,26.06
2023-04-04,26.08
2023-04-05,26.09
2023-04-06,26.13
2023-04-07,26.15
2023-04-08,26.2
2023-04-09,26.23
2023-04-10,26.27
2023-04-11,26.3
2023-04-12,26.31
2023-04-13,26.34
2023-04-14,26.37
2023-04-15,26.4
2023-04-16,26.46
2023-04-17,26.5
2023-04-18,26.57
2023-04-19,26.61
2023-04-20,26.63
2023-04-21,26.66
2023-04-22,26.7
2023-04-23,26.78
2023-04-24,26.83
2023-04-25,26.86
2023-04-26,26.89
2023-04-27,26.93
2023-04-28,26.95
2023-04-29,26.99
2023-04-30,27.03
2023-05-01,27.08
2023-05-02,27.12
2023-05-03,27.18
2023-05-04,27.22
2023-05-05,27.27
2023-05-06,27.31
2023-05-07,27.37
2023-05-08,27.4
2023-05-09,27.45
2023-05-10,27.49
2023-05-11,27.53
2023-05-12,27.56
2023-05-13,27.6
2023-05-14,27.63
2023-05-15,27.64
2023-05-16,27.68
2023-05-17,27.72
2023-05-18,27.77
2023-05-19,27.79
2023-05-20,27.82
2023-05-21,27.83
2023-05-22,27.87
2023-05-23,27.9
2023-05-24,27.9
2023-05-25,27.93
2023-05-26,27.96
2023-05-27,27.99
2023-05-28,28.01
2023-05-29,28.04
2023-05-30,28.05
2023-05-31,28.09
2023-06-01,28.1
2023-06-02,28.12
2023-06-03,28.14
2023-06-04,28.15
2023-06-05,28.17
2023-06-06,28.19
2023-06-07,28.21
2023-06-08,28.22
2023-06-09,28.23
2023-06-10,28.24
2023-06-11,28.25
2023-06-12,28.26
2023-06-13,28.26
2023-06-14,28.27
2023-06-15,28.27
2023-06-16,28.28
2023-06-17,28.25
2023-06-18,28.24
2023-06-19,28.24
2023-06-20,28.24
2023-06-21,28.22
2023-06-22,28.2
2023-06-23,28.19
2023-06-24,28.17
2023-06-25,28.15
2023-06-26,28.13
2023-06-27,28.11
2023-06-28,28.09
2023-06-29,28.06
2023-06-30,28.02
