data,cota_m
2025-08-01,28.47
2025-08-02,28.43
2025-08-03,28.4
2025-08-04,28.37
2025-08-05,28.33
2025-08-06,28.29
2025-08-07,28.25
2025-08-08,28.21
2025-08-09,28.16
2025-08-10,28.12
2025-08-11,28.11
2025-08-12,28.05
2025-08-13,28
2025-08-14,27.94
2025-08-15,27.88
2025-08-16,27.82
2025-08-17,27.76
2025-08-18,27.71
2025-08-19,27.65
2025-08-20,27.58
2025-08-21,27.51
2025-08-22,27.44
2025-08-23,27.37
2025-08-24,27.29
2025-08-25,27.22
2025-08-26,27.15
2025-08-27,27.08
2025-08-28,26.98
2025-08-29,26.91
2025-08-30,26.83
2025-08-31,26.74
2025-09-01,26.65
2025-09-02,26.56
2025-09-03,26.46
2025-09-04,26.37
2025-09-05,26.27
2025-09-06,26.17
2025-09-07,26.06
2025-09-08,25.93
2025-09-09,25.84
2025-09-10,25.72
2025-09-11,25.59
2025-09-12,25.47
2025-09-13,25.35
2025-09-14,25.2
2025-09-15,25.08
2025-09-16,24.95
2025-09-17,24.81
2025-09-18,24.64
2025-09-19,24.51
2025-09-20,24.36
2025-09-21,24.22
2025-09-22,24.06
2025-09-23,23.9
2025-09-24,23.73
2025-09-25,23.57
2025-09-26,23.39
2025-09-27,23.24
2025-09-28,23.09
2025-09-29,22.92
2025-09-30,22.76
2025-10-01,22.6
2025-10-02,22.45
2025-10-03,22.28
2025-10-04,22.1
2025-10-05,21.95
2025-10-06,21.78
2025-10-07,21.63
2025-10-08,21.45
2025-10-09,21.32
2025-10-10,21.2
2025-10-11,21.06
2025-10-12,20.91
2025-10-13,20.77
2025-10-14,20.64
2025-10-15,20.5
2025-10-16,20.39
2025-10-17,20.26
2025-10-18,20.13
2025-10-19,20
2025-10-20,19.87
2025-10-21,19.78
2025-10-22,19.68
2025-10-23,19.58
2025-10-24,19.5
2025-10-25,19.42
2025-10-26,19.36
2025-10-27,19.29
2025-10-28,19.22
2025-10-29,19.14
2025-10-30,19.09
2025-10-31,19.04
