data,cota_m
1967-04-24,19.84
1967-04-25,19.84
1967-04-26,19.81
1967-04-27,19.80
1967-04-28,19.77
1967-04-29,19.73
1967-04-30,19.72
1967-05-01,19.69
1967-05-02,19.61
1967-05-03,19.54
1967-05-04,19.47
1967-05-05,19.40
1967-05-06,19.30
1967-05-07,19.20
1967-05-08,19.09
1967-05-09,19.00
1967-05-10,18.90
1967-05-11,18.78
1967-05-12,18.62
1967-05-13,18.47
1967-05-14,18.33
1967-05-15,18.16
1967-05-16,17.98
1967-05-17,17.78
1967-05-18,17.61
1967-05-19,17.44
1967-05-20,17.27
1967-05-21,17.09
1967-05-22,16.94
1967-05-23,16.76
1967-05-24,16.61
1967-05-25,16.49
1967-05-26,16.35
1967-05-27,16.24
1967-05-28,16.12
1967-05-29,16.02
1967-05-30,15.91
1967-05-31,15.82
1967-06-01,15.72
1967-06-02,15.64
1967-06-03,15.54
1967-06-04,15.46
1967-06-05,15.34
1967-06-06,15.22
1967-06-07,15.10
1967-06-08,14.97
1967-06-09,14.82
1967-06-10,14.66
1967-06-11,14.54
1967-06-12,14.48
1967-06-13,14.48
1967-06-14,14.48
1967-06-15,14.45
1967-06-16,14.40
1967-06-17,14.33
1967-06-18,14.29
1967-06-19,14.22
1967-06-20,14.17
1967-06-21,14.08
1967-06-22,14.01
1967-06-23,13.98
1967-06-24,13.96
1967-06-25,13.94
1967-06-26,13.93
1967-06-27,13.91
1967-06-28,13.85
1967-06-29,13.80
1967-06-30,13.72
1967-07-01,13.63
1967-07-02,13.54
1967-07-03,13.45
1967-07-04,13.37
1967-07-05,13.28
1967-07-06,13.19
1967-07-07,13.09
1967-07-08,13.03
1967-07-09,12.97
1967-07-10,12.91
1967-07-11,12.78
1967-07-12,12.60
1967-07-13,12.54
1967-07-14,12.47
1967-07-15,12.39
1967-07-16,12.31
1967-07-17,12.23
1967-07-18,12.16
1967-07-19,12.12
1967-07-20,12.05
1967-07-21,12.01
1967-07-22,11.96
1967-07-23,11.93
1967-07-24,11.88
1967-07-25,11.87
1967-07-26,11.87
1967-07-27,11.86
1967-07-28,11.84
1967-07-29,11.82
1967-07-30,11.81
1967-07-31,11.80
1967-08-01,11.81
1967-08-02,11.81
1967-08-03,11.81
1967-08-04,11.77
1967-08-05,11.74
1967-08-06,11.70
1967-08-07,11.65
1967-08-08,11.60
1967-08-09,11.53
1967-08-10,11.46
1967-08-11,11.39
1967-08-12,11.33
1967-08-13,11.25
1967-08-14,11.17
1967-08-15,11.11
1967-08-16,11.04
1967-08-17,10.98
1967-08-18,10.91
1967-08-19,10.85
1967-08-20,10.78
1967-08-21,10.71
1967-08-22,10.63
1967-08-23,10.56
1967-08-24,10.48
1967-08-25,10.39
1967-08-26,10.32
1967-08-27,10.26
1967-08-28,10.21
1967-08-29,10.16
1967-08-30,10.13
1967-08-31,10.10
1967-09-01,10.05
1967-09-02,9.96
1967-09-03,9.87
1967-09-04,9.77
1967-09-05,9.71
1967-09-06,9.66
1967-09-07,9.61
1967-09-08,9.57
1967-09-09,9.54
1967-09-10,9.50
1967-09-11,9.45
1967-09-12,9.41
1967-09-13,9.35
1967-09-14,9.26
1967-09-15,9.16
1967-09-16,9.05
1967-09-17,8.94
1967-09-18,8.86
1967-09-19,8.77
1967-09-20,8.68
1967-09-21,8.60
1967-09-22,8.52
1967-09-23,8.37
1967-09-24,8.24
1967-09-25,8.13
1967-09-26,8.03
1967-09-27,7.94
1967-09-28,7.88
1967-09-29,7.82
1967-09-30,7.77
1967-10-01,7.75
1967-10-02,7.69
1967-10-03,7.65
1967-10-04,7.60
1967-10-05,7.55
1967-10-06,7.49
1967-10-07,7.40
1967-10-08,7.34
1967-10-09,7.20
1967-10-10,7.16
1967-10-11,7.12
1967-10-12,7.05
1967-10-13,7.00
1967-10-14,6.99
1967-10-15,6.96
1967-10-16,6.96
1967-10-17,6.96
1967-10-18,6.99
1967-10-19,7.05
1967-10-20,7.15
1967-10-21,7.27
1967-10-22,7.36
1967-10-23,7.44
1967-10-24,7.53
1967-10-25,7.62
1967-10-26,7.72
1967-10-27,7.82
1967-10-28,7.88
1967-10-29,7.93
1967-10-30,7.97
1967-10-31,8.00
1967-11-01,8.02
1967-11-02,8.06
1967-11-03,8.18
1967-11-04,8.51
1967-11-05,8.80
1967-11-06,9.00
1967-11-07,9.22
1967-11-08,9.43
1967-11-09,9.55
1967-11-10,9.54
1967-11-11,9.49
1967-11-12,9.49
1967-11-13,9.61
1967-11-14,9.86
1967-11-15,10.10
1967-11-16,10.30
1967-11-17,10.43
1967-11-18,10.52
1967-11-19,10.57
1967-11-20,10.61
1967-11-21,10.66
1967-11-22,10.79
1967-11-23,10.97
1967-11-24,11.15
1967-11-25,11.31
1967-11-26,11.42
1967-11-27,11.47
1967-11-28,11.50
1967-11-29,11.49
1967-11-30,11.44
1967-12-01,11.36
1967-12-02,11.31
1967-12-03,11.28
1967-12-04,11.21
1967-12-05,11.08
1967-12-06,10.96
1967-12-07,10.86
1967-12-08,10.81
1967-12-09,10.80
1967-12-10,10.81
1967-12-11,10.85
1967-12-12,10.88
1967-12-13,10.90
1967-12-14,10.94
1967-12-15,11.04
1967-12-16,11.11
1967-12-17,11.23
1967-12-18,11.42
1967-12-19,11.63
1967-12-20,11.84
1967-12-21,12.05
1967-12-22,12.25
1967-12-23,12.45
1967-12-24,12.60
1967-12-25,12.71
1967-12-26,12.76
1967-12-27,12.85
1967-12-28,12.87
1967-12-29,12.90
1967-12-30,12.93
1967-12-31,13.02
1968-01-01,13.19
1968-01-02,13.39
1968-01-03,13.55
1968-01-04,13.61
1968-01-05,13.61
1968-01-06,13.60
1968-01-07,13.57
1968-01-08,13.54
1968-01-09,13.52
1968-01-10,13.56
1968-01-11,13.59
1968-01-12,13.67
1968-01-13,13.82
1968-01-14,13.97
1968-01-15,14.06
1968-01-16,14.10
1968-01-17,14.10
1968-01-18,14.05
1968-01-19,14.01
1968-01-20,13.99
1968-01-21,13.99
1968-01-22,14.01
1968-01-23,14.08
1968-01-24,14.16
1968-01-25,14.26
1968-01-26,14.33
1968-01-27,14.43
1968-01-28,14.53
1968-01-29,14.68
1968-01-30,14.96
1968-01-31,15.33
1968-02-01,15.56
1968-02-02,15.77
1968-02-03,15.98
1968-02-04,16.15
1968-02-05,16.28
1968-02-06,16.37
1968-02-07,16.44
1968-02-08,16.55
1968-02-09,16.65
1968-02-10,16.75
1968-02-11,16.87
1968-02-12,16.97
1968-02-13,17.06
1968-02-14,17.16
1968-02-15,17.24
1968-02-16,17.33
1968-02-17,17.38
1968-02-18,17.42
1968-02-19,17.49
1968-02-20,17.54
1968-02-21,17.59
1968-02-22,17.66
1968-02-23,17.75
1968-02-24,17.86
1968-02-25,17.99
