data,vazao_m3s
2016-01-01,14152.6
2016-01-02,14339
2016-01-03,14741.8
2016-01-04,15423.3
2016-01-05,15977.6
2016-01-06,16342.2
2016-01-07,16710.1
2016-01-08,17138.9
2016-01-09,17572.2
2016-01-10,17863.5
2016-01-11,17951.2
2016-01-12,17863.5
2016-01-13,17746.7
2016-01-14,17543.1
2016-01-15,17456.2
2016-01-16,17717.6
2016-01-17,18156.7
2016-01-18,18808.8
2016-01-19,19652.4
2016-01-20,20511.1
2016-01-21,21227.8
2016-01-22,21700.7
2016-01-23,21954.6
2016-01-24,22050.1
2016-01-25,22177.8
2016-01-26,22401.9
2016-01-27,22659.2
2016-01-28,22691.4
2016-01-29,22209.8
2016-01-30,21511
2016-01-31,20883.8
2016-02-01,20418.4
2016-02-02,19896.2
2016-02-03,19804.6
2016-02-04,19987.9
2016-02-05,20233.5
2016-02-06,20728.2
2016-02-07,21542.6
2016-02-08,22434
2016-02-09,23340.3
2016-02-10,24195
2016-02-11,24861.1
2016-02-12,25331.7
2016-02-13,25129.6
2016-02-14,24627.1
2016-02-15,24360.8
2016-02-16,24029.6
2016-02-17,23536.4
2016-02-18,23405.6
2016-02-19,23601.9
2016-02-20,23340.3
2016-02-21,22530.4
2016-02-22,22113.9
2016-02-23,22401.9
2016-02-24,23047.4
2016-02-25,23536.4
2016-02-26,23831.8
2016-02-27,24029.6
2016-02-28,24961.6
2016-02-29,25840.1
2016-03-01,26869.1
2016-03-02,27914.7
2016-03-03,28443.6
2016-03-04,29012.3
2016-03-05,29477.8
2016-03-06,29910.2
2016-03-07,30345.1
2016-03-08,30746.1
2016-03-09,31002.4
2016-03-10,31259.6
2016-03-11,31480.7
2016-03-12,31739.5
2016-03-13,31887.8
2016-03-14,31924.9
2016-03-15,31924.9
2016-03-16,31962
2016-03-17,32036.3
2016-03-18,32110.7
2016-03-19,32222.4
2016-03-20,32446.3
2016-03-21,32334.3
2016-03-22,31924.9
2016-03-23,31628.5
2016-03-24,31259.6
2016-03-25,30855.8
2016-03-26,30600
2016-03-27,30490.7
2016-03-28,30381.5
2016-03-29,30308.8
2016-03-30,30345.1
2016-03-31,30600
2016-04-01,30892.5
2016-04-02,31222.8
2016-04-03,31480.7
2016-04-04,31628.5
2016-04-05,31813.6
2016-04-06,31813.6
2016-04-07,31702.5
2016-04-08,31628.5
2016-04-09,31517.6
2016-04-10,31296.4
2016-04-11,31039.1
2016-04-12,30782.7
2016-04-13,30563.6
2016-04-14,30454.3
2016-04-15,30308.8
2016-04-16,30018.7
2016-04-17,29729.7
2016-04-18,29513.7
2016-04-19,29298.4
2016-04-20,29155.2
2016-04-21,29155.2
2016-04-22,29226.8
2016-04-23,29262.6
2016-04-24,29191
2016-04-25,28941
2016-04-26,28691.9
2016-04-27,28585.4
2016-04-28,28620.9
2016-04-29,28656.4
2016-04-30,28585.4
2016-05-01,28479
2016-05-02,28549.9
2016-05-03,28763
2016-05-04,28976.7
2016-05-05,28905.3
2016-05-06,28514.5
2016-05-07,27879.6
2016-05-08,27215.8
2016-05-09,26558.7
2016-05-10,25976.3
2016-05-11,25365.5
2016-05-12,24727.3
2016-05-13,24095.7
2016-05-14,23275.1
2016-05-15,22627
2016-05-16,22401.9
2016-05-17,22369.8
2016-05-18,22466.1
2016-05-19,22659.2
2016-05-20,22917.7
2016-05-21,23177.4
2016-05-22,23275.1
2016-05-23,23144.8
2016-05-24,22788.3
2016-05-25,22305.7
2016-05-26,21859.2
2016-05-27,21416.4
2016-05-28,21008.6
2016-05-29,20666.1
2016-05-30,20172
2016-05-31,19713.2
2016-06-01,19228.7
2016-06-02,18719.3
2016-06-03,18274.6
2016-06-04,17892.7
2016-06-05,17514.1
2016-06-06,17282.8
2016-06-07,17052.8
2016-06-08,16624.9
2016-06-09,16089.4
2016-06-10,15505.9
2016-06-11,15040.1
2016-06-12,14985.7
2016-06-13,15699.4
2016-06-14,16852.6
2016-06-15,17485.2
2016-06-16,17398.3
2016-06-17,16881.1
2016-06-18,15949.7
2016-06-19,15067.3
2016-06-20,14099.6
2016-06-21,13287.5
2016-06-22,12603.8
2016-06-23,12156
2016-06-24,11779.8
2016-06-25,11390.5
2016-06-26,11088.6
2016-06-27,10850.5
2016-06-28,10538
2016-06-29,10249.9
2016-06-30,10004.1
2016-07-01,9761.82
2016-07-02,9523.12
2016-07-03,9323.88
2016-07-04,9144.95
2016-07-05,8915.43
2016-07-06,8828.08
2016-07-07,9056.26
2016-07-08,9305.9
2016-07-09,9269.99
2016-07-10,9109.41
2016-07-11,8880.43
2016-07-12,8586.24
2016-07-13,8297.96
2016-07-14,7966.31
2016-07-15,7706.81
2016-07-16,7658.72
2016-07-17,7933.6
2016-07-18,8197.61
2016-07-19,8164.33
2016-07-20,7982.7
2016-07-21,7706.81
2016-07-22,7389.63
2016-07-23,7126.28
2016-07-24,6958.91
2016-07-25,6868.62
2016-07-26,6793.92
2016-07-27,6779.04
