escopo,porto,uf,natureza_key,natureza_label,toneladas_mar2026
NACIONAL,(Brasil),BR,granel_solido,Granel Solido,
NACIONAL,(Brasil),BR,granel_liquido,Granel Liquido e Gasoso,
NACIONAL,(Brasil),BR,carga_geral,Carga Geral,
NACIONAL,(Brasil),BR,conteinerizada,Carga Conteinerizada,
PORTO,Terminal Marítimo de Ponta da Madeira,MA,granel_solido,Granel Solido,
PORTO,Terminal Marítimo de Ponta da Madeira,MA,granel_liquido,Granel Liquido e Gasoso,
PORTO,Terminal Marítimo de Ponta da Madeira,MA,carga_geral,Carga Geral,
PORTO,Terminal Marítimo de Ponta da Madeira,MA,conteinerizada,Carga Conteinerizada,
PORTO,Santos,SP,granel_solido,Granel Solido,
PORTO,Santos,SP,granel_liquido,Granel Liquido e Gasoso,
PORTO,Santos,SP,carga_geral,Carga Geral,
PORTO,Santos,SP,conteinerizada,Carga Conteinerizada,
PORTO,Terminal de Tubarão,ES,granel_solido,Granel Solido,
PORTO,Terminal de Tubarão,ES,granel_liquido,Granel Liquido e Gasoso,
PORTO,Terminal de Tubarão,ES,carga_geral,Carga Geral,
PORTO,Terminal de Tubarão,ES,conteinerizada,Carga Conteinerizada,
PORTO,Terminal Aquaviário de Angra dos Reis,RJ,granel_solido,Granel Solido,
PORTO,Terminal Aquaviário de Angra dos Reis,RJ,granel_liquido,Granel Liquido e Gasoso,
PORTO,Terminal Aquaviário de Angra dos Reis,RJ,carga_geral,Carga Geral,
PORTO,Terminal Aquaviário de Angra dos Reis,RJ,conteinerizada,Carga Conteinerizada,
PORTO,Terminal de Petróleo TPET/TOIL - Açu,RJ,granel_solido,Granel Solido,
PORTO,Terminal de Petróleo TPET/TOIL - Açu,RJ,granel_liquido,Granel Liquido e Gasoso,
PORTO,Terminal de Petróleo TPET/TOIL - Açu,RJ,carga_geral,Carga Geral,
PORTO,Terminal de Petróleo TPET/TOIL - Açu,RJ,conteinerizada,Carga Conteinerizada,
PORTO,Paranaguá,PR,granel_solido,Granel Solido,
PORTO,Paranaguá,PR,granel_liquido,Granel Liquido e Gasoso,
PORTO,Paranaguá,PR,carga_geral,Carga Geral,
PORTO,Paranaguá,PR,conteinerizada,Carga Conteinerizada,
