data,vazao_m3s
2022-05-01,45383.5
2022-05-02,45575.3
2022-05-03,45767.7
2022-05-04,46008.9
2022-05-05,46251
2022-05-06,46493.9
2022-05-07,46884.3
2022-05-08,47129.4
2022-05-09,47326.1
2022-05-10,47474
2022-05-11,47622.2
2022-05-12,47820.3
2022-05-13,47919.6
2022-05-14,47969.2
2022-05-15,48118.5
2022-05-16,48268
2022-05-17,48367.9
2022-05-18,48618.1
2022-05-19,48919.6
2022-05-20,49070.8
2022-05-21,49222.3
2022-05-22,49323.5
2022-05-23,49424.8
2022-05-24,49475.5
2022-05-25,49627.8
2022-05-26,49780.5
2022-05-27,49933.4
2022-05-28,50137.9
2022-05-29,50342.9
2022-05-30,50599.9
2022-05-31,50857.8
2022-06-01,51116.6
2022-06-02,51324.2
2022-06-03,51532.4
2022-06-04,51898.1
2022-06-05,52160.4
2022-06-06,52370.9
2022-06-07,52529.1
2022-06-08,52634.8
2022-06-09,52846.5
2022-06-10,53005.7
2022-06-11,53378.3
2022-06-12,53592.1
2022-06-13,53806.4
2022-06-14,54021.2
2022-06-15,54290.6
2022-06-16,54452.7
2022-06-17,54506.8
2022-06-18,54560.9
2022-06-19,54669.3
2022-06-20,54777.8
2022-06-21,54777.8
2022-06-22,54886.4
2022-06-23,54886.4
2022-06-24,54886.4
2022-06-25,54886.4
2022-06-26,54777.8
2022-06-27,54723.5
2022-06-28,54723.5
2022-06-29,54615.1
2022-06-30,54452.7
2022-07-01,54344.6
2022-07-02,54236.7
2022-07-03,54128.9
2022-07-04,53913.7
2022-07-05,53806.4
2022-07-06,53592.1
2022-07-07,53378.3
2022-07-08,53165.2
2022-07-09,53058.8
2022-07-10,52846.5
2022-07-11,52581.9
2022-07-12,52370.9
2022-07-13,52160.4
2022-07-14,51898.1
2022-07-15,51636.7
2022-07-16,51376.2
2022-07-17,51168.4
2022-07-18,50857.8
2022-07-19,50651.4
2022-07-20,50445.6
2022-07-21,50240.3
2022-07-22,50035.6
2022-07-23,49831.4
2022-07-24,49577
2022-07-25,49374.1
2022-07-26,49020.3
2022-07-27,48819
2022-07-28,48668.3
2022-07-29,48467.9
2022-07-30,48268
2022-07-31,48118.5
2022-08-01,47869.9
2022-08-02,47721.2
2022-08-03,47523.4
2022-08-04,47375.4
2022-08-05,47178.5
2022-08-06,46982.2
2022-08-07,46737.6
2022-08-08,46493.9
2022-08-09,46251
2022-08-10,46008.9
2022-08-11,45767.7
2022-08-12,45479.3
2022-08-13,45239.9
2022-08-14,45001.4
2022-08-15,44716.3
2022-08-16,44338
2022-08-17,44008.8
2022-08-18,43727.9
2022-08-19,43355.2
2022-08-20,43077.1
2022-08-21,42800.2
2022-08-22,42341.3
2022-08-23,41840.3
2022-08-24,41433.3
2022-08-25,40984.3
2022-08-26,40494.1
2022-08-27,40051.8
2022-08-28,39656.6
2022-08-29,39264
2022-08-30,38960.4
2022-08-31,38272.4
2022-09-01,37761.7
2022-09-02,37255.6
2022-09-03,36795.6
2022-09-04,36339.5
2022-09-05,35928.1
2022-09-06,35519.8
2022-09-07,35074.3
2022-09-08,34712.6
2022-09-09,34313.6
2022-09-10,33917.7
2022-09-11,33524.8
2022-09-12,33135
2022-09-13,32786.8
2022-09-14,32479.3
2022-09-15,32173.7
2022-09-16,31719
2022-09-17,31343.3
2022-09-18,30970.6
2022-09-19,30564.1
2022-09-20,30161.1
2022-09-21,29761.7
2022-09-22,29330
2022-09-23,28902.6
