data,vazao_m3s
2016-01-01,16171.4
2016-01-02,16539.3
2016-01-03,16220.2
2016-01-04,16367.2
2016-01-05,16465.4
2016-01-06,17160.5
2016-01-07,17361.3
2016-01-08,17791.5
2016-01-09,17010.5
2016-01-10,17487.4
2016-01-11,17110.4
2016-01-12,16318.1
2016-01-13,16786.6
2016-01-14,16935.7
2016-01-15,17361.3
2016-01-16,18613.5
2016-01-17,19187.9
2016-01-18,20386.2
2016-01-19,20901.6
2016-01-20,21038.1
2016-01-21,20683.9
2016-01-22,20901.6
2016-01-23,21450
2016-01-24,22004.6
2016-01-25,22706.4
2016-01-26,22452.7
2016-01-27,20765.4
2016-01-28,19240.5
2016-01-29,18303.3
2016-01-30,17588.5
2016-01-31,17613.8
2016-02-01,18277.6
2016-02-02,18072.2
2016-02-03,18380.7
2016-02-04,19372.2
2016-02-05,21477.6
2016-02-06,22819.6
2016-02-07,23935.7
2016-02-08,24721.9
2016-02-09,25400.2
2016-02-10,25966.5
2016-02-11,27054.3
2016-02-12,27329.3
2016-02-13,27268
2016-02-14,27237.5
2016-02-15,26841.3
2016-02-16,26357.1
2016-02-17,26689.6
2016-02-18,26538.2
2016-02-19,25727.4
2016-02-20,24809.9
2016-02-21,24663.3
2016-02-22,25074.8
2016-02-23,25787.1
2016-02-24,25876.7
2016-02-25,25906.6
2016-02-26,25876.7
2016-02-27,27605.4
2016-02-28,27821
2016-02-29,29603.6
2016-03-01,30048.8
2016-03-02,30890.8
2016-03-03,31349.7
2016-03-04,31918.4
2016-03-05,32887.6
2016-03-06,33177.1
2016-03-07,33467.6
2016-03-08,33722.6
2016-03-09,34235.1
2016-03-10,34824.7
2016-03-11,34972.7
2016-03-12,34492.5
2016-03-13,34161.7
2016-03-14,33832.2
2016-03-15,33905.3
2016-03-16,33795.6
2016-03-17,33686.1
2016-03-18,33649.7
2016-03-19,33358.5
2016-03-20,33431.2
2016-03-21,31172.9
2016-03-22,30144.5
2016-03-23,29287.4
2016-03-24,29161.4
2016-03-25,29319
2016-03-26,29192.9
2016-03-27,28909.9
2016-03-28,29224.4
2016-03-29,29319
2016-03-30,30336.4
2016-03-31,31243.6
2016-04-01,31740.3
2016-04-02,31740.3
2016-04-03,31172.9
2016-04-04,30272.4
2016-04-05,29985
2016-04-06,29857.6
2016-04-07,29477
2016-04-08,28847.2
2016-04-09,28006.4
2016-04-10,27975.5
2016-04-11,27759.3
2016-04-12,27821
2016-04-13,27697.7
2016-04-14,26477.8
2016-04-15,26538.2
2016-04-16,26598.7
2016-04-17,26841.3
2016-04-18,27023.8
2016-04-19,26962.9
2016-04-20,27666.9
2016-04-21,27574.7
2016-04-22,27298.6
2016-04-23,27023.8
2016-04-24,27115.3
2016-04-25,27268
2016-04-26,28006.4
2016-04-27,28037.4
2016-04-28,27543.9
2016-04-29,27298.6
2016-04-30,27975.5
2016-05-01,29161.4
2016-05-02,29129.9
2016-05-03,28378.8
2016-05-04,27237.5
2016-05-05,26296.8
2016-05-06,24809.9
2016-05-07,24898.1
2016-05-08,24051.5
2016-05-09,22593.5
2016-05-10,21976.7
2016-05-11,21367.4
2016-05-12,20521.3
2016-05-13,20144
2016-05-14,20928.8
2016-05-15,21147.6
2016-05-16,21893.2
2016-05-17,22396.4
2016-05-18,22989.8
2016-05-19,23475
2016-05-20,23189.1
2016-05-21,22876.3
2016-05-22,21865.4
2016-05-23,20983.4
2016-05-24,20656.8
2016-05-25,19823.1
2016-05-26,18952
2016-05-27,18354.9
2016-05-28,17563.2
2016-05-29,17035.4
2016-05-30,16786.6
2016-05-31,16539.3
2016-06-01,16564
2016-06-02,15879.6
2016-06-03,15758.7
2016-06-04,15903.8
2016-06-05,15422.3
2016-06-06,14759
2016-06-07,13901.9
2016-06-08,13402.7
2016-06-09,13268
2016-06-10,14062.3
2016-06-11,15758.7
2016-06-12,17110.4
2016-06-13,16514.7
2016-06-14,15686.4
2016-06-15,14525.2
2016-06-16,13947.6
2016-06-17,13447.8
2016-06-18,12168
2016-06-19,11888.7
2016-06-20,11213.3
2016-06-21,11109.3
2016-06-22,10292.5
2016-06-23,10052.7
2016-06-24,10092.5
2016-06-25,9561.06
2016-06-26,9194.53
2016-06-27,8928.42
2016-06-28,8703.02
2016-06-29,8628.44
2016-06-30,8150.44
2016-07-01,8223.22
2016-07-02,7701.97
2016-07-03,7631.23
2016-07-04,7987.73
2016-07-05,8909.54
2016-07-06,8796.64
2016-07-07,8296.27
2016-07-08,8277.98
2016-07-09,7438.16
2016-07-10,7438.16
2016-07-11,6922.5
2016-07-12,6488.59
2016-07-13,6720.73
2016-07-14,7058.44
2016-07-15,7808.6
2016-07-16,7631.23
2016-07-17,7212.74
2016-07-18,6973.34
2016-07-19,6488.59
2016-07-20,6292.43
2016-07-21,6018.99
2016-07-22,6082.86
2016-07-23,6082.86
2016-07-24,6003.07
2016-07-25,5955.42
2016-07-26,5829.14
2016-07-27,5672.95
2016-07-28,5533.94
