data,vazao_m3s
2016-01-01,8181.06
2016-01-02,8785.01
2016-01-03,9205.21
2016-01-04,9513.29
2016-01-05,9551.94
2016-01-06,9551.94
2016-01-07,9551.94
2016-01-08,9551.94
2016-01-09,9629.34
2016-01-10,9629.34
2016-01-11,9629.34
2016-01-12,9551.94
2016-01-13,9397.51
2016-01-14,9205.21
2016-01-15,8899.21
2016-01-16,8519.71
2016-01-17,7994.14
2016-01-18,7438.73
2016-01-19,6927.84
2016-01-20,6531.7
2016-01-21,6175.75
2016-01-22,5893.96
2016-01-23,5476.38
2016-01-24,5201.51
2016-01-25,4963.4
2016-01-26,4727.58
2016-01-27,4427.88
2016-01-28,4132.24
2016-01-29,3776.69
2016-01-30,3396.44
2016-01-31,3209.46
2016-02-01,3055.31
2016-02-02,2994.08
2016-02-03,2902.72
2016-02-04,2811.94
2016-02-05,2842.13
2016-02-06,2994.08
2016-02-07,3024.66
2016-02-08,2994.08
2016-02-09,2842.13
2016-02-10,2721.75
2016-02-11,2602.44
2016-02-12,2513.68
2016-02-13,2513.68
2016-02-14,2602.44
2016-02-15,2691.82
2016-02-16,2811.94
2016-02-17,2963.56
2016-02-18,3147.61
2016-02-19,3302.68
2016-02-20,3459.24
2016-02-21,3617.26
2016-02-22,3680.86
2016-02-23,3744.69
2016-02-24,4132.24
2016-02-25,4394.83
2016-02-26,4862.05
2016-02-27,5441.86
2016-02-28,6140.38
2016-02-29,6819.33
2016-03-01,7549.16
2016-03-02,7696.91
2016-03-03,8293.63
2016-03-04,9013.71
2016-03-05,9745.68
2016-03-06,10331.6
2016-03-07,10528.4
2016-03-08,10489
2016-03-09,10528.4
2016-03-10,10253.1
2016-03-11,10057.3
2016-03-12,9745.68
2016-03-13,9823.4
2016-03-14,9668.09
2016-03-15,9436.07
2016-03-16,9128.51
2016-03-17,9128.51
2016-03-18,9358.99
2016-03-19,9474.66
2016-03-20,9590.63
2016-03-21,9706.87
2016-03-22,9862.31
2016-03-23,10057.3
2016-03-24,10213.9
2016-03-25,10292.3
2016-03-26,10213.9
2016-03-27,10057.3
2016-03-28,9940.21
2016-03-29,10135.5
2016-03-30,10331.6
2016-03-31,10805.3
2016-04-01,11163.3
2016-04-02,11604.1
2016-04-03,12129.5
2016-04-04,12536.8
2016-04-05,12823.5
2016-04-06,13152.8
2016-04-07,13608.3
2016-04-08,14150.7
2016-04-09,14697.3
2016-04-10,15236.7
2016-04-11,15895.3
2016-04-12,16526.1
2016-04-13,17083.1
2016-04-14,17826.2
2016-04-15,18450.6
2016-04-16,18994.8
2016-04-17,19269.9
2016-04-18,19593.6
2016-04-19,19686.6
2016-04-20,19686.6
2016-04-21,19686.6
2016-04-22,19640.1
2016-04-23,19733.2
2016-04-24,19686.6
2016-04-25,19686.6
2016-04-26,19733.2
2016-04-27,20108
2016-04-28,20629.3
2016-04-29,20964.7
2016-04-30,21497.5
2016-05-01,22037.2
2016-05-02,22534
2016-05-03,22834.9
2016-05-04,23341
2016-05-05,23750
2016-05-06,24214.7
2016-05-07,24736.5
2016-05-08,25158.1
2016-05-09,25583.5
2016-05-10,25690.4
2016-05-11,25851.2
2016-05-12,26120.4
2016-05-13,26336.9
2016-05-14,26608.7
2016-05-15,26882
2016-05-16,26991.8
2016-05-17,27101.7
2016-05-18,27211.9
2016-05-19,27377.7
2016-05-20,27433
2016-05-21,27543.9
2016-05-22,27655.1
2016-05-23,27766.5
2016-05-24,27989.9
2016-05-25,28270.5
2016-05-26,28439.6
2016-05-27,28552.6
2016-05-28,28665.9
2016-05-29,28836.2
2016-05-30,29007
2016-05-31,29350.3
2016-06-01,29753.5
2016-06-02,30043.2
2016-06-03,30276.1
2016-06-04,30509.9
2016-06-05,30685.8
2016-06-06,30685.8
2016-06-07,30803.4
2016-06-08,30862.3
2016-06-09,30862.3
2016-06-10,30921.3
2016-06-11,31098.5
2016-06-12,31573.6
2016-06-13,31633.2
2016-06-14,31872.5
2016-06-15,32112.6
2016-06-16,32474.6
2016-06-17,32717.1
2016-06-18,32960.6
2016-06-19,33143.8
2016-06-20,33143.8
2016-06-21,33082.7
2016-06-22,33082.7
2016-06-23,32960.6
2016-06-24,32838.8
2016-06-25,32656.4
2016-06-26,32535.2
2016-06-27,32293.3
2016-06-28,32233
2016-06-29,32414.1
2016-06-30,32112.6
2016-07-01,31454.5
2016-07-02,31098.5
2016-07-03,30862.3
2016-07-04,30568.5
2016-07-05,30509.9
2016-07-06,30627.1
2016-07-07,30744.6
2016-07-08,31039.3
2016-07-09,31276.2
